f_destination_country_code,f_passport_country_code,f_country_visa_required,f_visa_policy_code,f_online_apply_url,f_visa_duration_days
MO,TH,no,visa_not_required,,30
LA,TH,yes,evisa_or_visa_on_arrival,https://laoevisa.gov.la/,30
FR,TH,yes,visa_required,,90
NL,TH,yes,visa_required,,90
SG,BN,no,visa_not_required,,30
HK,BN,no,visa_not_required,,14
GB,BN,no,visa_not_required,,180
CA,BN,no,visa_not_required,,180
ID,BN,no,visa_not_required,,30
VN,BN,no,visa_not_required,,14
IN,BN,yes,evisa_required,https://www.indianvisaonline.gov.in/evisa/tvoa.html,90
TW,BN,no,visa_not_required,,14
AU,BN,no,visa_not_required,,90
AT,BN,no,visa_not_required,,90
MY,BN,no,visa_not_required,,30
CN,BN,no,visa_not_required,,14
JP,BN,no,visa_not_required,,14
SA,BN,yes,evisa_or_visa_on_arrival,https://visa.visitsaudi.com/,90
TH,BN,no,visa_not_required,,14
BN,BN,no,visa_not_required,,
ZA,BN,no,visa_not_required,,30
BD,BN,yes,visa_on_arrival,,30
KH,BN,no,visa_not_required,,14
US,BN,no,visa_not_required,,90
MV,BN,yes,visa_on_arrival,,30
PH,BN,no,visa_not_required,,14
KR,BN,no,visa_not_required,,30
CH,BN,no,visa_not_required,,90
DE,BN,no,visa_not_required,,90
IT,BN,no,visa_not_required,,90
AE,BN,no,visa_not_required,,30
NP,BN,yes,evisa_or_visa_on_arrival,https://www.immigration.gov.np/en/post/online-visa-application-12,90
TR,BN,no,visa_not_required,,90
ES,BN,no,visa_not_required,,90
LK,BN,yes,eta_required,https://www.eta.gov.lk/slvisa/visainfo/center.jsp?lang=en&locale=en_US,30
BE,BN,no,visa_not_required,,90
GR,BN,no,visa_not_required,,90
NZ,BN,no,visa_not_required,,90
RU,BN,no,visa_not_required,,16
MM,BN,yes,evisa_required,https://evisa.moip.gov.mm/,28
DK,BN,no,visa_not_required,,90
MO,BN,no,visa_not_required,,30
LA,BN,no,visa_not_required,,14
FR,BN,no,visa_not_required,,90
NL,BN,no,visa_not_required,,90
SG,ZA,no,visa_not_required,,30
HK,ZA,no,visa_not_required,,30
GB,ZA,no,visa_not_required,,180
CA,ZA,yes,visa_required,,180
ID,ZA,yes,evisa_or_visa_on_arrival,https://evisa.imigrasi.go.id/,30
VN,ZA,yes,evisa_required,https://evisa.gov.vn/,90
IN,ZA,yes,evisa_required,https://www.indianvisaonline.gov.in/evisa/tvoa.html,90
TW,ZA,yes,visa_required,,30
AU,ZA,yes,evisa_required,https://immi.homeaffairs.gov.au/help-support/applying-online-or-on-paper/online,90
AT,ZA,yes,visa_required,,90
MY,ZA,no,visa_not_required,,90
CN,ZA,yes,visa_required,,30
JP,ZA,yes,visa_required,,90
SA,ZA,yes,evisa_or_visa_on_arrival,https://visa.visitsaudi.com/,90
TH,ZA,no,visa_not_required,,60
BN,ZA,no,visa_not_required,,14
ZA,ZA,no,visa_not_required,,
BD,ZA,yes,visa_on_arrival,,30
KH,ZA,yes,evisa_or_visa_on_arrival,https://www.evisa.gov.kh/,30
US,ZA,yes,visa_required,,180
MV,ZA,yes,visa_on_arrival,,30
PH,ZA,no,visa_not_required,,30
KR,ZA,yes,visa_required,,90
CH,ZA,yes,visa_required,,90
DE,ZA,yes,visa_required,,90
IT,ZA,yes,visa_required,,90
AE,ZA,no,visa_not_required,,30
NP,ZA,yes,evisa_or_visa_on_arrival,https://www.immigration.gov.np/en/post/online-visa-application-12,90
TR,ZA,no,visa_not_required,,90
ES,ZA,yes,visa_required,,90
LK,ZA,yes,eta_required,https://www.eta.gov.lk/slvisa/visainfo/center.jsp?lang=en&locale=en_US,30
BE,ZA,yes,visa_required,,90
GR,ZA,yes,visa_required,,90
NZ,ZA,yes,visa_required,,180
RU,ZA,yes,evisa_required,https://evisa.kdmid.ru/,16
MM,ZA,yes,evisa_required,https://evisa.moip.gov.mm/,28
DK,ZA,yes,visa_required,,90
MO,ZA,yes,visa_required,,30
LA,ZA,yes,evisa_or_visa_on_arrival,https://laoevisa.gov.la/,30
FR,ZA,yes,visa_required,,90
NL,ZA,yes,visa_required,,90
SG,BD,yes,visa_required,,30
HK,BD,yes,visa_required,,14
GB,BD,yes,visa_required,,180
CA,BD,yes,visa_required,,180
ID,BD,yes,visa_required,,30
VN,BD,yes,evisa_required,https://evisa.gov.vn/,90
IN,BD,no,visa_not_required,,30
TW,BD,yes,visa_required,,30
AU,BD,yes,evisa_required,https://immi.homeaffairs.gov.au/help-support/applying-online-or-on-paper/online,90
AT,BD,yes,visa_required,,90
MY,BD,no,visa_not_required,,30
CN,BD,yes,visa_required,,30
JP,BD,yes,visa_required,,90
SA,BD,yes,visa_required,,90
TH,BD,no,visa_not_required,,30
BN,BD,yes,visa_required,,14
ZA,BD,yes,visa_required,,90
BD,BD,no,visa_not_required,,
KH,BD,yes,evisa_or_visa_on_arrival,https://www.evisa.gov.kh/,30
US,BD,yes,visa_required,,180
MV,BD,yes,visa_on_arrival,,30
PH,BD,yes,visa_required,,30
KR,BD,yes,visa_required,,90
CH,BD,yes,visa_required,,90
DE,BD,yes,visa_required,,90
IT,BD,yes,visa_required,,90
AE,BD,no,visa_not_required,,30
NP,BD,yes,evisa_or_visa_on_arrival,https://www.immigration.gov.np/en/post/online-visa-application-12,90
TR,BD,yes,visa_required,,90
ES,BD,yes,visa_required,,90
LK,BD,yes,eta_required,https://www.eta.gov.lk/slvisa/visainfo/center.jsp?lang=en&locale=en_US,30
BE,BD,yes,visa_required,,90
GR,BD,yes,visa_required,,90
NZ,BD,yes,visa_required,,180
RU,BD,yes,evisa_required,https://evisa.kdmid.ru/,16
MM,BD,yes,evisa_required,https://evisa.moip.gov.mm/,28
DK,BD,yes,visa_required,,90
MO,BD,yes,visa_required,,30
LA,BD,yes,evisa_or_visa_on_arrival,https://laoevisa.gov.la/,30
FR,BD,yes,visa_required,,90
NL,BD,yes,visa_required,,90
SG,KH,no,visa_not_required,,30
HK,KH,yes,visa_required,,30
GB,KH,yes,visa_required,,180
CA,KH,yes,visa_required,,180
ID,KH,no,visa_not_required,,30
VN,KH,no,visa_not_required,,30
IN,KH,yes,evisa_required,https://www.indianvisaonline.gov.in/evisa/tvoa.html,90
TW,KH,yes,visa_required,,30
AU,KH,yes,evisa_required,https://immi.homeaffairs.gov.au/help-support/applying-online-or-on-paper/online,90
AT,KH,yes,visa_required,,90
MY,KH,no,visa_not_required,,30
CN,KH,yes,visa_required,,30
JP,KH,yes,visa_required,,90
SA,KH,yes,evisa_or_visa_on_arrival,https://visa.visitsaudi.com/,90
TH,KH,no,visa_not_required,,14
BN,KH,no,visa_not_required,,14
ZA,KH,yes,visa_required,,90
BD,KH,yes,visa_on_arrival,,30
KH,KH,no,visa_not_required,,
US,KH,yes,visa_required,,180
MV,KH,yes,visa_on_arrival,,30
PH,KH,yes,visa_required,,30
KR,KH,yes,visa_required,,90
CH,KH,yes,visa_required,,90
DE,KH,yes,visa_required,,90
IT,KH,yes,visa_required,,90
AE,KH,yes,visa_required,,30
NP,KH,yes,evisa_or_visa_on_arrival,https://www.immigration.gov.np/en/post/online-visa-application-12,90
TR,KH,yes,visa_required,,90
ES,KH,yes,visa_required,,90
LK,KH,yes,eta_required,https://www.eta.gov.lk/slvisa/visainfo/center.jsp?lang=en&locale=en_US,30
BE,KH,yes,visa_required,,90
GR,KH,yes,visa_required,,90
NZ,KH,yes,visa_required,,180
RU,KH,yes,evisa_required,https://evisa.kdmid.ru/,16
MM,KH,no,visa_not_required,,14
DK,KH,yes,visa_required,,90
MO,KH,yes,visa_required,,30
LA,KH,no,visa_not_required,,30
FR,KH,yes,visa_required,,90
NL,KH,yes,visa_required,,90
SG,US,no,visa_not_required,,90
HK,US,no,visa_not_required,,90
GB,US,no,visa_not_required,,180
CA,US,no,visa_not_required,,180
ID,US,yes,evisa_or_visa_on_arrival,https://evisa.imigrasi.go.id/,30
VN,US,yes,evisa_required,https://evisa.gov.vn/,90
IN,US,yes,evisa_required,https://www.indianvisaonline.gov.in/evisa/tvoa.html,90
TW,US,no,visa_not_required,,90
AU,US,no,visa_not_required,,90
AT,US,no,visa_not_required,,90
MY,US,no,visa_not_required,,90
CN,US,yes,visa_required,,30
JP,US,no,visa_not_required,,90
SA,US,yes,evisa_or_visa_on_arrival,https://visa.visitsaudi.com/,90
TH,US,no,visa_not_required,,60
BN,US,no,visa_not_required,,14
ZA,US,no,visa_not_required,,90
BD,US,yes,visa_on_arrival,,30
KH,US,yes,evisa_or_visa_on_arrival,https://www.evisa.gov.kh/,30
US,US,no,visa_not_required,,
MV,US,yes,visa_on_arrival,,30
PH,US,no,visa_not_required,,30
KR,US,no,visa_not_required,,90
CH,US,no,visa_not_required,,90
DE,US,no,visa_not_required,,90
IT,US,no,visa_not_required,,90
AE,US,no,visa_not_required,,30
NP,US,yes,evisa_or_visa_on_arrival,https://www.immigration.gov.np/en/post/online-visa-application-12,90
TR,US,yes,evisa_required,https://www.evisa.gov.tr/en/,30
ES,US,no,visa_not_required,,90
LK,US,yes,eta_required,https://www.eta.gov.lk/slvisa/visainfo/center.jsp?lang=en&locale=en_US,30
BE,US,no,visa_not_required,,90
GR,US,no,visa_not_required,,90
NZ,US,no,visa_not_required,,90
RU,US,yes,evisa_required,https://evisa.kdmid.ru/,16
MM,US,yes,evisa_required,https://evisa.moip.gov.mm/,28
DK,US,no,visa_not_required,,90
MO,US,no,visa_not_required,,30
LA,US,yes,evisa_or_visa_on_arrival,https://laoevisa.gov.la/,30
FR,US,no,visa_not_required,,90
NL,US,no,visa_not_required,,90
SG,MV,no,visa_not_required,,30
HK,MV,yes,visa_required,,14
GB,MV,yes,visa_required,,180
CA,MV,yes,visa_required,,180
ID,MV,yes,visa_required,,30
VN,MV,yes,evisa_required,https://evisa.gov.vn/,90
IN,MV,no,visa_not_required,,90
TW,MV,yes,visa_required,,30
AU,MV,yes,evisa_required,https://immi.homeaffairs.gov.au/help-support/applying-online-or-on-paper/online,90
AT,MV,yes,visa_required,,90
MY,MV,no,visa_not_required,,30
CN,MV,yes,visa_required,,30
JP,MV,yes,visa_required,,90
SA,MV,no,visa_not_required,,90
TH,MV,no,visa_not_required,,30
BN,MV,no,visa_not_required,,14
ZA,MV,yes,visa_required,,90
BD,MV,yes,visa_required,,30
KH,MV,no,visa_not_required,,30
US,MV,yes,visa_required,,180
MV,MV,no,visa_not_required,,
PH,MV,yes,visa_required,,30
KR,MV,yes,visa_required,,90
CH,MV,yes,visa_required,,90
DE,MV,yes,visa_required,,90
IT,MV,yes,visa_required,,90
AE,MV,no,visa_not_required,,30
NP,MV,yes,visa_on_arrival,,30
TR,MV,yes,visa_required,,90
ES,MV,yes,visa_required,,90
LK,MV,yes,eta_required,https://www.eta.gov.lk/slvisa/visainfo/center.jsp?lang=en&locale=en_US,30
BE,MV,yes,visa_required,,90
GR,MV,yes,visa_required,,90
NZ,MV,yes,visa_required,,180
RU,MV,yes,evisa_required,https://evisa.kdmid.ru/,16
MM,MV,yes,evisa_required,https://evisa.moip.gov.mm/,28
DK,MV,yes,visa_required,,90
MO,MV,yes,visa_required,,30
LA,MV,yes,evisa_or_visa_on_arrival,https://laoevisa.gov.la/,30
FR,MV,yes,visa_required,,90
NL,MV,yes,visa_required,,90
SG,PH,no,visa_not_required,,30
HK,PH,no,visa_not_required,,14
GB,PH,yes,visa_required,,180
CA,PH,yes,visa_required,,180
ID,PH,no,visa_not_required,,30
VN,PH,no,visa_not_required,,21
IN,PH,yes,evisa_required,https://www.indianvisaonline.gov.in/evisa/tvoa.html,90
TW,PH,no,visa_not_required,,30
AU,PH,yes,evisa_required,https://immi.homeaffairs.gov.au/help-support/applying-online-or-on-paper/online,90
AT,PH,yes,visa_required,,90
MY,PH,no,visa_not_required,,30
CN,PH,yes,visa_required,,30
JP,PH,yes,visa_required,,90
SA,PH,yes,evisa_or_visa_on_arrival,https://visa.visitsaudi.com/,90
TH,PH,no,visa_not_required,,30
BN,PH,no,visa_not_required,,14
ZA,PH,yes,visa_required,,90
BD,PH,yes,visa_on_arrival,,30
KH,PH,no,visa_not_required,,14
US,PH,yes,visa_required,,180
MV,PH,yes,visa_on_arrival,,30
PH,PH,no,visa_not_required,,
KR,PH,yes,visa_required,,90
CH,PH,yes,visa_required,,90
DE,PH,yes,visa_required,,90
IT,PH,yes,visa_required,,90
AE,PH,yes,visa_required,,30
NP,PH,yes,evisa_or_visa_on_arrival,https://www.immigration.gov.np/en/post/online-visa-application-12,90
TR,PH,yes,visa_required,,90
ES,PH,yes,visa_required,,90
LK,PH,yes,eta_required,https://www.eta.gov.lk/slvisa/visainfo/center.jsp?lang=en&locale=en_US,30
BE,PH,yes,visa_required,,90
GR,PH,yes,visa_required,,90
NZ,PH,yes,visa_required,,180
RU,PH,yes,evisa_required,https://evisa.kdmid.ru/,16
MM,PH,yes,evisa_required,https://evisa.moip.gov.mm/,28
DK,PH,yes,visa_required,,90
MO,PH,no,visa_not_required,,30
LA,PH,yes,evisa_or_visa_on_arrival,https://laoevisa.gov.la/,30
FR,PH,yes,visa_required,,90
NL,PH,yes,visa_required,,90
SG,KR,no,visa_not_required,,30
HK,KR,no,visa_not_required,,90
GB,KR,no,visa_not_required,,180
CA,KR,no,visa_not_required,,180
ID,KR,no,visa_not_required,,30
VN,KR,yes,evisa_required,https://evisa.gov.vn/,90
IN,KR,yes,evisa_required,https://www.indianvisaonline.gov.in/evisa/tvoa.html,90
TW,KR,no,visa_not_required,,90
AU,KR,no,visa_not_required,,90
AT,KR,no,visa_not_required,,90
MY,KR,no,visa_not_required,,90
CN,KR,no,visa_not_required,,30
JP,KR,no,visa_not_required,,90
SA,KR,yes,evisa_or_visa_on_arrival,https://visa.visitsaudi.com/,90
TH,KR,no,visa_not_required,,90
BN,KR,no,visa_not_required,,30
ZA,KR,no,visa_not_required,,90
BD,KR,yes,visa_on_arrival,,30
KH,KR,yes,evisa_or_visa_on_arrival,https://www.evisa.gov.kh/,30
US,KR,no,visa_not_required,,90
MV,KR,yes,visa_on_arrival,,30
PH,KR,no,visa_not_required,,30
KR,KR,no,visa_not_required,,
CH,KR,no,visa_not_required,,90
DE,KR,no,visa_not_required,,90
IT,KR,no,visa_not_required,,90
AE,KR,no,visa_not_required,,90
NP,KR,yes,evisa_or_visa_on_arrival,https://www.immigration.gov.np/en/post/online-visa-application-12,90
TR,KR,no,visa_not_required,,90
ES,KR,no,visa_not_required,,90
LK,KR,yes,eta_required,https://www.eta.gov.lk/slvisa/visainfo/center.jsp?lang=en&locale=en_US,30
BE,KR,no,visa_not_required,,90
GR,KR,no,visa_not_required,,90
NZ,KR,no,visa_not_required,,90
RU,KR,yes,evisa_required,https://evisa.kdmid.ru/,16
MM,KR,yes,evisa_required,https://evisa.moip.gov.mm/,28
DK,KR,no,visa_not_required,,90
MO,KR,no,visa_not_required,,30
LA,KR,yes,evisa_or_visa_on_arrival,https://laoevisa.gov.la/,30
FR,KR,no,visa_not_required,,90
NL,KR,no,visa_not_required,,90
SG,CH,no,visa_not_required,,30
HK,CH,no,visa_not_required,,90
GB,CH,no,visa_not_required,,180
CA,CH,no,visa_not_required,,180
ID,CH,no,visa_not_required,,30
VN,CH,no,visa_not_required,,45
IN,CH,yes,evisa_required,https://www.indianvisaonline.gov.in/evisa/tvoa.html,90
TW,CH,no,visa_not_required,,90
AU,CH,no,visa_not_required,,90
AT,CH,no,visa_not_required,,90
MY,CH,no,visa_not_required,,90
CN,CH,no,visa_not_required,,30
JP,CH,no,visa_not_required,,90
SA,CH,yes,evisa_or_visa_on_arrival,https://visa.visitsaudi.com/,90
TH,CH,no,visa_not_required,,60
BN,CH,no,visa_not_required,,14
ZA,CH,no,visa_not_required,,90
BD,CH,yes,visa_on_arrival,,30
KH,CH,yes,evisa_or_visa_on_arrival,https://www.evisa.gov.kh/,30
US,CH,no,visa_not_required,,90
MV,CH,yes,visa_on_arrival,,30
PH,CH,no,visa_not_required,,30
KR,CH,no,visa_not_required,,90
CH,CH,no,visa_not_required,,
DE,CH,no,visa_not_required,,90
IT,CH,no,visa_not_required,,90
AE,CH,no,visa_not_required,,90
NP,CH,yes,evisa_or_visa_on_arrival,https://www.immigration.gov.np/en/post/online-visa-application-12,90
TR,CH,no,visa_not_required,,90
ES,CH,no,visa_not_required,,90
LK,CH,yes,eta_required,https://www.eta.gov.lk/slvisa/visainfo/center.jsp?lang=en&locale=en_US,30
BE,CH,no,visa_not_required,,90
GR,CH,no,visa_not_required,,90
NZ,CH,no,visa_not_required,,90
RU,CH,yes,evisa_required,https://evisa.kdmid.ru/,16
MM,CH,yes,evisa_required,https://evisa.moip.gov.mm/,28
DK,CH,no,visa_not_required,,90
MO,CH,no,visa_not_required,,30
LA,CH,yes,evisa_or_visa_on_arrival,https://laoevisa.gov.la/,30
FR,CH,no,visa_not_required,,90
NL,CH,no,visa_not_required,,90
SG,DE,no,visa_not_required,,30
HK,DE,no,visa_not_required,,90
GB,DE,no,visa_not_required,,180
CA,DE,no,visa_not_required,,180
ID,DE,no,visa_not_required,,30
VN,DE,no,visa_not_required,,45
IN,DE,yes,evisa_required,https://www.indianvisaonline.gov.in/evisa/tvoa.html,90
TW,DE,no,visa_not_required,,90
AU,DE,no,visa_not_required,,90
AT,DE,no,visa_not_required,,90
MY,DE,no,visa_not_required,,90
CN,DE,no,visa_not_required,,30
JP,DE,no,visa_not_required,,90
SA,DE,yes,evisa_or_visa_on_arrival,https://visa.visitsaudi.com/,90
TH,DE,no,visa_not_required,,60
BN,DE,no,visa_not_required,,14
ZA,DE,no,visa_not_required,,90
BD,DE,yes,visa_on_arrival,,30
KH,DE,yes,evisa_or_visa_on_arrival,https://www.evisa.gov.kh/,30
US,DE,no,visa_not_required,,90
MV,DE,yes,visa_on_arrival,,30
PH,DE,no,visa_not_required,,30
KR,DE,no,visa_not_required,,90
CH,DE,no,visa_not_required,,90
DE,DE,no,visa_not_required,,
IT,DE,no,visa_not_required,,90
AE,DE,no,visa_not_required,,90
NP,DE,yes,evisa_or_visa_on_arrival,https://www.immigration.gov.np/en/post/online-visa-application-12,90
TR,DE,no,visa_not_required,,90
ES,DE,no,visa_not_required,,90
LK,DE,yes,eta_required,https://www.eta.gov.lk/slvisa/visainfo/center.jsp?lang=en&locale=en_US,30
BE,DE,no,visa_not_required,,90
GR,DE,no,visa_not_required,,90
NZ,DE,no,visa_not_required,,90
RU,DE,yes,evisa_required,https://evisa.kdmid.ru/,16
MM,DE,yes,evisa_required,https://evisa.moip.gov.mm/,28
DK,DE,no,visa_not_required,,90
MO,DE,no,visa_not_required,,30
LA,DE,yes,evisa_or_visa_on_arrival,https://laoevisa.gov.la/,30
FR,DE,no,visa_not_required,,90
NL,DE,no,visa_not_required,,90
SG,IT,no,visa_not_required,,30
HK,IT,no,visa_not_required,,90
GB,IT,no,visa_not_required,,180
CA,IT,no,visa_not_required,,180
ID,IT,no,visa_not_required,,30
VN,IT,no,visa_not_required,,45
IN,IT,yes,evisa_required,https://www.indianvisaonline.gov.in/evisa/tvoa.html,90
TW,IT,no,visa_not_required,,90
AU,IT,no,visa_not_required,,90
AT,IT,no,visa_not_required,,90
MY,IT,no,visa_not_required,,90
CN,IT,no,visa_not_required,,30
JP,IT,no,visa_not_required,,90
SA,IT,yes,evisa_or_visa_on_arrival,https://visa.visitsaudi.com/,90
TH,IT,no,visa_not_required,,60
BN,IT,no,visa_not_required,,14
ZA,IT,no,visa_not_required,,90
BD,IT,yes,visa_on_arrival,,30
KH,IT,yes,evisa_or_visa_on_arrival,https://www.evisa.gov.kh/,30
US,IT,no,visa_not_required,,90
MV,IT,yes,visa_on_arrival,,30
PH,IT,no,visa_not_required,,30
KR,IT,no,visa_not_required,,90
CH,IT,no,visa_not_required,,90
DE,IT,no,visa_not_required,,90
IT,IT,no,visa_not_required,,
AE,IT,no,visa_not_required,,90
NP,IT,yes,evisa_or_visa_on_arrival,https://www.immigration.gov.np/en/post/online-visa-application-12,90
TR,IT,no,visa_not_required,,90
ES,IT,no,visa_not_required,,90
LK,IT,yes,eta_required,https://www.eta.gov.lk/slvisa/visainfo/center.jsp?lang=en&locale=en_US,30
BE,IT,no,visa_not_required,,90
GR,IT,no,visa_not_required,,90
NZ,IT,no,visa_not_required,,90
RU,IT,yes,evisa_required,https://evisa.kdmid.ru/,16
MM,IT,yes,evisa_required,https://evisa.moip.gov.mm/,28
DK,IT,no,visa_not_required,,90
MO,IT,no,visa_not_required,,30
LA,IT,yes,evisa_or_visa_on_arrival,https://laoevisa.gov.la/,30
FR,IT,no,visa_not_required,,90
NL,IT,no,visa_not_required,,90
SG,AE,no,visa_not_required,,30
HK,AE,no,visa_not_required,,30
GB,AE,no,visa_not_required,,180
CA,AE,no,visa_not_required,,180
ID,AE,no,visa_not_required,,30
VN,AE,no,visa_not_required,,90
IN,AE,yes,evisa_required,https://www.indianvisaonline.gov.in/evisa/tvoa.html,90
TW,AE,yes,visa_required,,30
AU,AE,no,visa_not_required,,90
AT,AE,no,visa_not_required,,90
MY,AE,no,visa_not_required,,90
CN,AE,no,visa_not_required,,30
JP,AE,no,visa_not_required,,90
SA,AE,no,visa_not_required,,90
TH,AE,no,visa_not_required,,60
BN,AE,no,visa_not_required,,14
ZA,AE,no,visa_not_required,,90
BD,AE,yes,visa_on_arrival,,30
KH,AE,yes,evisa_or_visa_on_arrival,https://www.evisa.gov.kh/,30
US,AE,no,visa_not_required,,90
MV,AE,yes,visa_on_arrival,,30
PH,AE,no,visa_not_required,,30
KR,AE,no,visa_not_required,,90
CH,AE,no,visa_not_required,,90
DE,AE,no,visa_not_required,,90
IT,AE,no,visa_not_required,,90
AE,AE,no,visa_not_required,,
NP,AE,yes,evisa_or_visa_on_arrival,https://www.immigration.gov.np/en/post/online-visa-application-12,90
TR,AE,no,visa_not_required,,90
ES,AE,no,visa_not_required,,90
LK,AE,yes,eta_required,https://www.eta.gov.lk/slvisa/visainfo/center.jsp?lang=en&locale=en_US,30
BE,AE,no,visa_not_required,,90
GR,AE,no,visa_not_required,,90
NZ,AE,no,visa_not_required,,90
RU,AE,no,visa_not_required,,30
MM,AE,yes,evisa_required,https://evisa.moip.gov.mm/,28
DK,AE,no,visa_not_required,,90
MO,AE,yes,visa_required,,30
LA,AE,yes,evisa_or_visa_on_arrival,https://laoevisa.gov.la/,30
FR,AE,no,visa_not_required,,90
NL,AE,no,visa_not_required,,90
SG,NP,yes,visa_required,,30
HK,NP,yes,visa_required,,14
GB,NP,yes,visa_required,,180
CA,NP,yes,visa_required,,180
ID,NP,yes,visa_required,,30
VN,NP,yes,visa_required,,30
IN,NP,no,visa_not_required,,90
TW,NP,yes,visa_required,,30
AU,NP,yes,visa_required,,90
AT,NP,yes,visa_required,,90
MY,NP,yes,visa_required,,30
CN,NP,yes,visa_required,,30
JP,NP,yes,visa_required,,90
SA,NP,yes,visa_required,,90
TH,NP,yes,visa_required,,60
BN,NP,yes,visa_required,,14
ZA,NP,yes,visa_required,,90
BD,NP,no,visa_not_required,,30
KH,NP,yes,visa_required,,30
US,NP,yes,visa_required,,180
MV,NP,yes,visa_required,,30
PH,NP,yes,visa_required,,30
KR,NP,yes,visa_required,,90
CH,NP,yes,visa_required,,90
DE,NP,yes,visa_required,,90
IT,NP,yes,visa_required,,90
AE,NP,yes,visa_required,,30
NP,NP,no,visa_not_required,,
TR,NP,yes,visa_required,,90
ES,NP,yes,visa_required,,90
LK,NP,yes,visa_required,,30
BE,NP,yes,visa_required,,90
GR,NP,yes,visa_required,,90
NZ,NP,yes,visa_required,,180
RU,NP,yes,visa_required,,16
MM,NP,yes,visa_required,,28
DK,NP,yes,visa_required,,90
MO,NP,yes,visa_required,,30
LA,NP,yes,visa_required,,30
FR,NP,yes,visa_required,,90
NL,NP,yes,visa_required,,90
SG,TR,no,visa_not_required,,30
HK,TR,no,visa_not_required,,90
GB,TR,yes,visa_required,,180
CA,TR,yes,visa_required,,180
ID,TR,no,visa_not_required,,30
VN,TR,yes,evisa_required,https://evisa.gov.vn/,90
IN,TR,yes,evisa_required,https://www.indianvisaonline.gov.in/evisa/tvoa.html,90
TW,TR,yes,visa_required,,30
AU,TR,yes,evisa_required,https://immi.homeaffairs.gov.au/help-support/applying-online-or-on-paper/online,90
AT,TR,yes,visa_required,,90
MY,TR,no,visa_not_required,,90
CN,TR,yes,visa_required,,30
JP,TR,no,visa_not_required,,90
SA,TR,yes,evisa_or_visa_on_arrival,https://visa.visitsaudi.com/,90
TH,TR,no,visa_not_required,,30
BN,TR,no,visa_not_required,,30
ZA,TR,no,visa_not_required,,90
BD,TR,yes,visa_on_arrival,,30
KH,TR,yes,evisa_or_visa_on_arrival,https://www.evisa.gov.kh/,30
US,TR,yes,visa_required,,180
MV,TR,yes,visa_on_arrival,,30
PH,TR,no,visa_not_required,,30
KR,TR,yes,visa_required,,90
CH,TR,yes,visa_required,,90
DE,TR,yes,visa_required,,90
IT,TR,yes,visa_required,,90
AE,TR,no,visa_not_required,,90
NP,TR,yes,visa_required,,90
TR,TR,no,visa_not_required,,
ES,TR,yes,visa_required,,90
LK,TR,yes,eta_required,https://www.eta.gov.lk/slvisa/visainfo/center.jsp?lang=en&locale=en_US,30
BE,TR,yes,visa_required,,90
GR,TR,yes,visa_required,,90
NZ,TR,yes,visa_required,,180
RU,TR,no,visa_not_required,,30
MM,TR,yes,evisa_required,https://evisa.moip.gov.mm/,28
DK,TR,yes,visa_required,,90
MO,TR,yes,visa_required,,30
LA,TR,yes,evisa_or_visa_on_arrival,https://laoevisa.gov.la/,30
FR,TR,yes,visa_required,,90
NL,TR,yes,visa_required,,90
SG,ES,no,visa_not_required,,30
HK,ES,no,visa_not_required,,90
GB,ES,no,visa_not_required,,180
CA,ES,no,visa_not_required,,180
ID,ES,no,visa_not_required,,30
VN,ES,no,visa_not_required,,45
IN,ES,yes,evisa_required,https://www.indianvisaonline.gov.in/evisa/tvoa.html,90
TW,ES,no,visa_not_required,,90
AU,ES,no,visa_not_required,,90
AT,ES,no,visa_not_required,,90
MY,ES,no,visa_not_required,,90
CN,ES,no,visa_not_required,,30
JP,ES,no,visa_not_required,,90
SA,ES,yes,evisa_or_visa_on_arrival,https://visa.visitsaudi.com/,90
TH,ES,no,visa_not_required,,60
BN,ES,no,visa_not_required,,14
ZA,ES,no,visa_not_required,,90
BD,ES,yes,visa_on_arrival,,30
KH,ES,yes,evisa_or_visa_on_arrival,https://www.evisa.gov.kh/,30
US,ES,no,visa_not_required,,90
MV,ES,yes,visa_on_arrival,,30
PH,ES,no,visa_not_required,,30
KR,ES,no,visa_not_required,,90
CH,ES,no,visa_not_required,,90
DE,ES,no,visa_not_required,,90
IT,ES,no,visa_not_required,,90
AE,ES,no,visa_not_required,,90
NP,ES,yes,visa_required,,90
TR,ES,no,visa_not_required,,90
ES,ES,no,visa_not_required,,
LK,ES,yes,eta_required,https://www.eta.gov.lk/slvisa/visainfo/center.jsp?lang=en&locale=en_US,30
BE,ES,no,visa_not_required,,90
GR,ES,no,visa_not_required,,90
NZ,ES,no,visa_not_required,,90
RU,ES,yes,evisa_required,https://evisa.kdmid.ru/,16
MM,ES,yes,evisa_required,https://evisa.moip.gov.mm/,28
DK,ES,no,visa_not_required,,90
MO,ES,no,visa_not_required,,30
LA,ES,yes,evisa_or_visa_on_arrival,https://laoevisa.gov.la/,30
FR,ES,no,visa_not_required,,90
NL,ES,no,visa_not_required,,90
SG,LK,yes,visa_required,,30
HK,LK,yes,visa_required,,14
GB,LK,yes,visa_required,,180
CA,LK,yes,visa_required,,180
ID,LK,yes,visa_required,,30
VN,LK,yes,visa_required,,30
IN,LK,no,visa_not_required,,90
TW,LK,yes,visa_required,,30
AU,LK,yes,visa_required,,90
AT,LK,yes,visa_required,,90
MY,LK,no,visa_not_required,,30
