f_flight_combination,f_departure_airport_code,f_destination_airport_code,f_airline_code,f_currency_code,f_aircraft_code,f_departure_date,f_arrival_date,f_cabin_class,f_trip_type,f_flight_duration,f_total_amount_fare_total
5973,MAN,SIN,SQ,GBP,A350-900,2026-07-12T10:25:00,2026-07-12T23:25:00,ECONOMY,O,780,468.67
5974,SIN,MAN,SQ,SGD,B777-300ER,2026-07-13T01:55:00,2026-07-13T15:35:00,ECONOMY,O,820,771.50
5975,MAN,SIN,SQ,GBP,B777-300ER,2026-07-13T11:30:00,2026-07-14T00:30:00,ECONOMY,O,780,450.29
5976,SIN,MAN,SQ,SGD,A350-900,2026-07-14T02:00:00,2026-07-14T15:40:00,ECONOMY,O,820,758.00
5977,MAN,SIN,SQ,GBP,A350-900,2026-07-14T12:35:00,2026-07-15T01:35:00,ECONOMY,O,780,442.41
5978,SIN,MAN,SQ,SGD,B777-300ER,2026-07-15T00:05:00,2026-07-15T13:45:00,ECONOMY,O,820,748.00
5979,MAN,SIN,SQ,GBP,B777-300ER,2026-07-15T13:15:00,2026-07-16T02:15:00,ECONOMY,O,780,436.57
5980,SIN,MAN,SQ,SGD,A350-900,2026-07-16T01:10:00,2026-07-16T14:50:00,ECONOMY,O,820,766.50
5981,MAN,SIN,SQ,GBP,A350-900,2026-07-16T10:20:00,2026-07-16T23:20:00,ECONOMY,O,780,447.37
5982,SIN,MAN,SQ,SGD,B777-300ER,2026-07-17T02:15:00,2026-07-17T15:55:00,ECONOMY,O,820,803.00
5983,MAN,SIN,SQ,GBP,B777-300ER,2026-07-17T11:25:00,2026-07-18T00:25:00,ECONOMY,O,780,468.67
5984,SIN,MAN,SQ,SGD,A350-900,2026-07-18T00:50:00,2026-07-18T14:30:00,ECONOMY,O,820,805.50
5985,MAN,SIN,SQ,GBP,A350-900,2026-07-18T12:30:00,2026-07-19T01:30:00,ECONOMY,O,780,470.13
5986,SIN,MAN,SQ,SGD,B777-300ER,2026-07-19T01:55:00,2026-07-19T15:35:00,ECONOMY,O,820,808.00
5987,MAN,SIN,SQ,GBP,B777-300ER,2026-07-19T13:35:00,2026-07-20T02:35:00,ECONOMY,O,780,471.59
5988,SIN,MAN,SQ,SGD,A350-900,2026-07-20T02:00:00,2026-07-20T15:40:00,ECONOMY,O,820,764.00
5989,MAN,SIN,SQ,GBP,A350-900,2026-07-20T10:15:00,2026-07-20T23:15:00,ECONOMY,O,780,445.91
5990,SIN,MAN,SQ,SGD,B777-300ER,2026-07-21T00:05:00,2026-07-21T13:45:00,ECONOMY,O,820,750.50
5991,MAN,SIN,SQ,GBP,B777-300ER,2026-07-21T11:20:00,2026-07-22T00:20:00,ECONOMY,O,780,438.03
5992,SIN,MAN,SQ,SGD,A350-900,2026-07-22T01:10:00,2026-07-22T14:50:00,ECONOMY,O,820,753.00
5993,MAN,SIN,SQ,GBP,A350-900,2026-07-22T12:25:00,2026-07-23T01:25:00,ECONOMY,O,780,439.49
5994,SIN,MAN,SQ,SGD,B777-300ER,2026-07-23T02:15:00,2026-07-23T15:55:00,ECONOMY,O,820,771.50
5995,MAN,SIN,SQ,GBP,B777-300ER,2026-07-23T13:30:00,2026-07-24T02:30:00,ECONOMY,O,780,450.29
5996,SIN,MAN,SQ,SGD,A350-900,2026-07-24T00:50:00,2026-07-24T14:30:00,ECONOMY,O,820,808.00
5997,MAN,SIN,SQ,GBP,A350-900,2026-07-24T10:35:00,2026-07-24T23:35:00,ECONOMY,O,780,471.59
5998,SIN,MAN,SQ,SGD,B777-300ER,2026-07-25T01:55:00,2026-07-25T15:35:00,ECONOMY,O,820,798.00
5999,MAN,SIN,SQ,GBP,B777-300ER,2026-07-25T11:15:00,2026-07-26T00:15:00,ECONOMY,O,780,465.75
6000,SIN,MAN,SQ,SGD,A350-900,2026-07-26T02:00:00,2026-07-26T15:40:00,ECONOMY,O,820,800.50
6001,MAN,SIN,SQ,GBP,A350-900,2026-07-26T12:20:00,2026-07-27T01:20:00,ECONOMY,O,780,467.21
6002,SIN,MAN,SQ,SGD,B777-300ER,2026-07-27T00:05:00,2026-07-27T13:45:00,ECONOMY,O,820,769.00
6003,MAN,SIN,SQ,GBP,B777-300ER,2026-07-27T13:25:00,2026-07-28T02:25:00,ECONOMY,O,780,448.83
6004,SIN,MAN,SQ,SGD,A350-900,2026-07-28T01:10:00,2026-07-28T14:50:00,ECONOMY,O,820,755.50
6005,MAN,SIN,SQ,GBP,A350-900,2026-07-28T10:30:00,2026-07-28T23:30:00,ECONOMY,O,780,440.95
6006,SIN,MAN,SQ,SGD,B777-300ER,2026-07-29T02:15:00,2026-07-29T15:55:00,ECONOMY,O,820,758.00
6007,MAN,SIN,SQ,GBP,B777-300ER,2026-07-29T11:35:00,2026-07-30T00:35:00,ECONOMY,O,780,442.41
6008,SIN,MAN,SQ,SGD,A350-900,2026-07-30T00:50:00,2026-07-30T14:30:00,ECONOMY,O,820,764.00
6009,MAN,SIN,SQ,GBP,A350-900,2026-07-30T12:15:00,2026-07-31T01:15:00,ECONOMY,O,780,445.91
6010,SIN,MAN,SQ,SGD,B777-300ER,2026-07-31T01:55:00,2026-07-31T15:35:00,ECONOMY,O,820,800.50
6011,MAN,SIN,SQ,GBP,B777-300ER,2026-07-31T13:20:00,2026-08-01T02:20:00,ECONOMY,O,780,467.21
6012,SIN,MAN,SQ,SGD,B777-300ER,2026-08-01T01:55:00,2026-08-01T15:35:00,ECONOMY,O,820,817.50
6013,MAN,SIN,SQ,GBP,B777-300ER,2026-08-01T11:20:00,2026-08-02T00:20:00,ECONOMY,O,780,477.13
6014,SIN,MAN,SQ,SGD,A350-900,2026-08-02T02:00:00,2026-08-02T15:40:00,ECONOMY,O,820,820.00
6015,MAN,SIN,SQ,GBP,A350-900,2026-08-02T12:25:00,2026-08-03T01:25:00,ECONOMY,O,780,478.59
6016,SIN,MAN,SQ,SGD,B777-300ER,2026-08-03T00:05:00,2026-08-03T13:45:00,ECONOMY,O,820,788.50
6017,MAN,SIN,SQ,GBP,B777-300ER,2026-08-03T13:30:00,2026-08-04T02:30:00,ECONOMY,O,780,460.21
6018,SIN,MAN,SQ,SGD,A350-900,2026-08-04T01:10:00,2026-08-04T14:50:00,ECONOMY,O,820,775.00
6019,MAN,SIN,SQ,GBP,A350-900,2026-08-04T10:35:00,2026-08-04T23:35:00,ECONOMY,O,780,452.33
6020,SIN,MAN,SQ,SGD,B777-300ER,2026-08-05T02:15:00,2026-08-05T15:55:00,ECONOMY,O,820,765.00
6021,MAN,SIN,SQ,GBP,B777-300ER,2026-08-05T11:15:00,2026-08-06T00:15:00,ECONOMY,O,780,446.49
6022,SIN,MAN,SQ,SGD,A350-900,2026-08-06T00:50:00,2026-08-06T14:30:00,ECONOMY,O,820,783.50
6023,MAN,SIN,SQ,GBP,A350-900,2026-08-06T12:20:00,2026-08-07T01:20:00,ECONOMY,O,780,457.29
6024,SIN,MAN,SQ,SGD,B777-300ER,2026-08-07T01:55:00,2026-08-07T15:35:00,ECONOMY,O,820,820.00
6025,MAN,SIN,SQ,GBP,B777-300ER,2026-08-07T13:25:00,2026-08-08T02:25:00,ECONOMY,O,780,478.59
6026,SIN,MAN,SQ,SGD,A350-900,2026-08-08T02:00:00,2026-08-08T15:40:00,ECONOMY,O,820,822.50
6027,MAN,SIN,SQ,GBP,A350-900,2026-08-08T10:30:00,2026-08-08T23:30:00,ECONOMY,O,780,480.05
6028,SIN,MAN,SQ,SGD,B777-300ER,2026-08-09T00:05:00,2026-08-09T13:45:00,ECONOMY,O,820,825.00
6029,MAN,SIN,SQ,GBP,B777-300ER,2026-08-09T11:35:00,2026-08-10T00:35:00,ECONOMY,O,780,481.51
6030,SIN,MAN,SQ,SGD,A350-900,2026-08-10T01:10:00,2026-08-10T14:50:00,ECONOMY,O,820,781.00
6031,MAN,SIN,SQ,GBP,A350-900,2026-08-10T12:15:00,2026-08-11T01:15:00,ECONOMY,O,780,455.83
6032,SIN,MAN,SQ,SGD,B777-300ER,2026-08-11T02:15:00,2026-08-11T15:55:00,ECONOMY,O,820,767.50
6033,MAN,SIN,SQ,GBP,B777-300ER,2026-08-11T13:20:00,2026-08-12T02:20:00,ECONOMY,O,780,447.95
6034,SIN,MAN,SQ,SGD,A350-900,2026-08-12T00:50:00,2026-08-12T14:30:00,ECONOMY,O,820,770.00
6035,MAN,SIN,SQ,GBP,A350-900,2026-08-12T10:25:00,2026-08-12T23:25:00,ECONOMY,O,780,449.41
6036,SIN,MAN,SQ,SGD,B777-300ER,2026-08-13T01:55:00,2026-08-13T15:35:00,ECONOMY,O,820,788.50
6037,MAN,SIN,SQ,GBP,B777-300ER,2026-08-13T11:30:00,2026-08-14T00:30:00,ECONOMY,O,780,460.21
6038,SIN,MAN,SQ,SGD,A350-900,2026-08-14T02:00:00,2026-08-14T15:40:00,ECONOMY,O,820,825.00
6039,MAN,SIN,SQ,GBP,A350-900,2026-08-14T12:35:00,2026-08-15T01:35:00,ECONOMY,O,780,481.51
6040,SIN,MAN,SQ,SGD,B777-300ER,2026-08-15T00:05:00,2026-08-15T13:45:00,ECONOMY,O,820,815.00
6041,MAN,SIN,SQ,GBP,B777-300ER,2026-08-15T13:15:00,2026-08-16T02:15:00,ECONOMY,O,780,475.67
6042,SIN,MAN,SQ,SGD,A350-900,2026-08-16T01:10:00,2026-08-16T14:50:00,ECONOMY,O,820,817.50
6043,MAN,SIN,SQ,GBP,A350-900,2026-08-16T10:20:00,2026-08-16T23:20:00,ECONOMY,O,780,477.13
6044,SIN,MAN,SQ,SGD,B777-300ER,2026-08-17T02:15:00,2026-08-17T15:55:00,ECONOMY,O,820,786.00
6045,MAN,SIN,SQ,GBP,B777-300ER,2026-08-17T11:25:00,2026-08-18T00:25:00,ECONOMY,O,780,458.75
6046,SIN,MAN,SQ,SGD,A350-900,2026-08-18T00:50:00,2026-08-18T14:30:00,ECONOMY,O,820,772.50
6047,MAN,SIN,SQ,GBP,A350-900,2026-08-18T12:30:00,2026-08-19T01:30:00,ECONOMY,O,780,450.87
6048,SIN,MAN,SQ,SGD,B777-300ER,2026-08-19T01:55:00,2026-08-19T15:35:00,ECONOMY,O,820,775.00
6049,MAN,SIN,SQ,GBP,B777-300ER,2026-08-19T13:35:00,2026-08-20T02:35:00,ECONOMY,O,780,452.33
6050,SIN,MAN,SQ,SGD,A350-900,2026-08-20T02:00:00,2026-08-20T15:40:00,ECONOMY,O,820,781.00
6051,MAN,SIN,SQ,GBP,A350-900,2026-08-20T10:15:00,2026-08-20T23:15:00,ECONOMY,O,780,455.83
6052,SIN,MAN,SQ,SGD,B777-300ER,2026-08-21T00:05:00,2026-08-21T13:45:00,ECONOMY,O,820,817.50
6053,MAN,SIN,SQ,GBP,B777-300ER,2026-08-21T11:20:00,2026-08-22T00:20:00,ECONOMY,O,780,477.13
6054,SIN,MAN,SQ,SGD,A350-900,2026-08-22T01:10:00,2026-08-22T14:50:00,ECONOMY,O,820,820.00
6055,MAN,SIN,SQ,GBP,A350-900,2026-08-22T12:25:00,2026-08-23T01:25:00,ECONOMY,O,780,478.59
6056,SIN,MAN,SQ,SGD,B777-300ER,2026-08-23T02:15:00,2026-08-23T15:55:00,ECONOMY,O,820,822.50
6057,MAN,SIN,SQ,GBP,B777-300ER,2026-08-23T13:30:00,2026-08-24T02:30:00,ECONOMY,O,780,480.05
6058,SIN,MAN,SQ,SGD,A350-900,2026-08-24T00:50:00,2026-08-24T14:30:00,ECONOMY,O,820,791.00
6059,MAN,SIN,SQ,GBP,A350-900,2026-08-24T10:35:00,2026-08-24T23:35:00,ECONOMY,O,780,461.67
6060,SIN,MAN,SQ,SGD,B777-300ER,2026-08-25T01:55:00,2026-08-25T15:35:00,ECONOMY,O,820,765.00
6061,MAN,SIN,SQ,GBP,B777-300ER,2026-08-25T11:15:00,2026-08-26T00:15:00,ECONOMY,O,780,446.49
6062,SIN,MAN,SQ,SGD,A350-900,2026-08-26T02:00:00,2026-08-26T15:40:00,ECONOMY,O,820,767.50
6063,MAN,SIN,SQ,GBP,A350-900,2026-08-26T12:20:00,2026-08-27T01:20:00,ECONOMY,O,780,447.95
6064,SIN,MAN,SQ,SGD,B777-300ER,2026-08-27T00:05:00,2026-08-27T13:45:00,ECONOMY,O,820,786.00
6065,MAN,SIN,SQ,GBP,B777-300ER,2026-08-27T13:25:00,2026-08-28T02:25:00,ECONOMY,O,780,458.75
6066,SIN,MAN,SQ,SGD,A350-900,2026-08-28T01:10:00,2026-08-28T14:50:00,ECONOMY,O,820,822.50
6067,MAN,SIN,SQ,GBP,A350-900,2026-08-28T10:30:00,2026-08-28T23:30:00,ECONOMY,O,780,480.05
6068,SIN,MAN,SQ,SGD,B777-300ER,2026-08-29T02:15:00,2026-08-29T15:55:00,ECONOMY,O,820,825.00
6069,MAN,SIN,SQ,GBP,B777-300ER,2026-08-29T11:35:00,2026-08-30T00:35:00,ECONOMY,O,780,481.51
6070,SIN,LNZ,SQ,SGD,A350-900,2026-05-30T23:50:00,2026-05-31T12:15:00,ECONOMY,O,745,724.00
6071,LNZ,SIN,SQ,EUR,A350-900,2026-05-30T12:15:00,2026-05-31T00:00:00,ECONOMY,O,705,485.12
6072,SIN,LNZ,SQ,SGD,B777-300ER,2026-05-31T00:55:00,2026-05-31T13:20:00,ECONOMY,O,745,726.50
6073,LNZ,SIN,SQ,EUR,B777-300ER,2026-05-31T13:20:00,2026-06-01T01:05:00,ECONOMY,O,705,486.80
6074,SIN,LNZ,SQ,SGD,B777-300ER,2026-06-01T00:55:00,2026-06-01T13:20:00,ECONOMY,O,745,678.50
6075,LNZ,SIN,SQ,EUR,B777-300ER,2026-06-01T11:20:00,2026-06-01T23:05:00,ECONOMY,O,705,454.64
6076,SIN,LNZ,SQ,SGD,A350-900,2026-06-02T01:00:00,2026-06-02T13:25:00,ECONOMY,O,745,668.00
6077,LNZ,SIN,SQ,EUR,A350-900,2026-06-02T12:25:00,2026-06-03T00:10:00,ECONOMY,O,705,447.60
6078,SIN,LNZ,SQ,SGD,B777-300ER,2026-06-03T23:05:00,2026-06-04T11:30:00,ECONOMY,O,745,670.50
6079,LNZ,SIN,SQ,EUR,B777-300ER,2026-06-03T13:30:00,2026-06-04T01:15:00,ECONOMY,O,705,449.27
6080,SIN,LNZ,SQ,SGD,A350-900,2026-06-04T00:10:00,2026-06-04T12:35:00,ECONOMY,O,745,686.00
6081,LNZ,SIN,SQ,EUR,A350-900,2026-06-04T10:35:00,2026-06-04T22:20:00,ECONOMY,O,705,459.66
6082,SIN,LNZ,SQ,SGD,B777-300ER,2026-06-05T01:15:00,2026-06-05T13:40:00,ECONOMY,O,745,706.00
6083,LNZ,SIN,SQ,EUR,B777-300ER,2026-06-05T11:15:00,2026-06-05T23:00:00,ECONOMY,O,705,473.06
6084,SIN,LNZ,SQ,SGD,A350-900,2026-06-06T23:50:00,2026-06-07T12:15:00,ECONOMY,O,745,708.50
6085,LNZ,SIN,SQ,EUR,A350-900,2026-06-06T12:20:00,2026-06-07T00:05:00,ECONOMY,O,705,474.74
6086,SIN,LNZ,SQ,SGD,B777-300ER,2026-06-07T00:55:00,2026-06-07T13:20:00,ECONOMY,O,745,711.00
6087,LNZ,SIN,SQ,EUR,B777-300ER,2026-06-07T13:25:00,2026-06-08T01:10:00,ECONOMY,O,705,476.41
6088,SIN,LNZ,SQ,SGD,A350-900,2026-06-08T01:00:00,2026-06-08T13:25:00,ECONOMY,O,745,683.50
6089,LNZ,SIN,SQ,EUR,A350-900,2026-06-08T10:30:00,2026-06-08T22:15:00,ECONOMY,O,705,457.99
6090,SIN,LNZ,SQ,SGD,B777-300ER,2026-06-09T23:05:00,2026-06-10T11:30:00,ECONOMY,O,745,673.00
6091,LNZ,SIN,SQ,EUR,B777-300ER,2026-06-09T11:35:00,2026-06-09T23:20:00,ECONOMY,O,705,450.95
6092,SIN,LNZ,SQ,SGD,A350-900,2026-06-10T00:10:00,2026-06-10T12:35:00,ECONOMY,O,745,663.00
6093,LNZ,SIN,SQ,EUR,A350-900,2026-06-10T12:15:00,2026-06-11T00:00:00,ECONOMY,O,705,444.25
6094,SIN,LNZ,SQ,SGD,B777-300ER,2026-06-11T01:15:00,2026-06-11T13:40:00,ECONOMY,O,745,678.50
6095,LNZ,SIN,SQ,EUR,B777-300ER,2026-06-11T13:20:00,2026-06-12T01:05:00,ECONOMY,O,705,454.64
6096,SIN,LNZ,SQ,SGD,A350-900,2026-06-12T23:50:00,2026-06-13T12:15:00,ECONOMY,O,745,711.00
6097,LNZ,SIN,SQ,EUR,A350-900,2026-06-12T10:25:00,2026-06-12T22:10:00,ECONOMY,O,705,476.41
6098,SIN,LNZ,SQ,SGD,B777-300ER,2026-06-13T00:55:00,2026-06-13T13:20:00,ECONOMY,O,745,713.50
6099,LNZ,SIN,SQ,EUR,B777-300ER,2026-06-13T11:30:00,2026-06-13T23:15:00,ECONOMY,O,705,478.09
6100,SIN,LNZ,SQ,SGD,A350-900,2026-06-14T01:00:00,2026-06-14T13:25:00,ECONOMY,O,745,716.00
6101,LNZ,SIN,SQ,EUR,A350-900,2026-06-14T12:35:00,2026-06-15T00:20:00,ECONOMY,O,705,479.76
6102,SIN,LNZ,SQ,SGD,B777-300ER,2026-06-15T23:05:00,2026-06-16T11:30:00,ECONOMY,O,745,676.00
6103,LNZ,SIN,SQ,EUR,B777-300ER,2026-06-15T13:15:00,2026-06-16T01:00:00,ECONOMY,O,705,452.96
6104,SIN,LNZ,SQ,SGD,A350-900,2026-06-16T00:10:00,2026-06-16T12:35:00,ECONOMY,O,745,665.50
6105,LNZ,SIN,SQ,EUR,A350-900,2026-06-16T10:20:00,2026-06-16T22:05:00,ECONOMY,O,705,445.92
6106,SIN,LNZ,SQ,SGD,B777-300ER,2026-06-17T01:15:00,2026-06-17T13:40:00,ECONOMY,O,745,668.00
6107,LNZ,SIN,SQ,EUR,B777-300ER,2026-06-17T11:25:00,2026-06-17T23:10:00,ECONOMY,O,705,447.60
6108,SIN,LNZ,SQ,SGD,A350-900,2026-06-18T23:50:00,2026-06-19T12:15:00,ECONOMY,O,745,683.50
6109,LNZ,SIN,SQ,EUR,A350-900,2026-06-18T12:30:00,2026-06-19T00:15:00,ECONOMY,O,705,457.99
6110,SIN,LNZ,SQ,SGD,B777-300ER,2026-06-19T00:55:00,2026-06-19T13:20:00,ECONOMY,O,745,716.00
6111,LNZ,SIN,SQ,EUR,B777-300ER,2026-06-19T13:35:00,2026-06-20T01:20:00,ECONOMY,O,705,479.76
6112,SIN,LNZ,SQ,SGD,A350-900,2026-06-20T01:00:00,2026-06-20T13:25:00,ECONOMY,O,745,706.00
6113,LNZ,SIN,SQ,EUR,A350-900,2026-06-20T10:15:00,2026-06-20T22:00:00,ECONOMY,O,705,473.06
6114,SIN,LNZ,SQ,SGD,B777-300ER,2026-06-21T23:05:00,2026-06-22T11:30:00,ECONOMY,O,745,708.50
6115,LNZ,SIN,SQ,EUR,B777-300ER,2026-06-21T11:20:00,2026-06-21T23:05:00,ECONOMY,O,705,474.74
6116,SIN,LNZ,SQ,SGD,A350-900,2026-06-22T00:10:00,2026-06-22T12:35:00,ECONOMY,O,745,681.00
6117,LNZ,SIN,SQ,EUR,A350-900,2026-06-22T12:25:00,2026-06-23T00:10:00,ECONOMY,O,705,456.31
6118,SIN,LNZ,SQ,SGD,B777-300ER,2026-06-23T01:15:00,2026-06-23T13:40:00,ECONOMY,O,745,670.50
6119,LNZ,SIN,SQ,EUR,B777-300ER,2026-06-23T13:30:00,2026-06-24T01:15:00,ECONOMY,O,705,449.27
6120,SIN,LNZ,SQ,SGD,A350-900,2026-06-24T23:50:00,2026-06-25T12:15:00,ECONOMY,O,745,673.00
6121,LNZ,SIN,SQ,EUR,A350-900,2026-06-24T10:35:00,2026-06-24T22:20:00,ECONOMY,O,705,450.95
6122,SIN,LNZ,SQ,SGD,B777-300ER,2026-06-25T00:55:00,2026-06-25T13:20:00,ECONOMY,O,745,676.00
6123,LNZ,SIN,SQ,EUR,B777-300ER,2026-06-25T11:15:00,2026-06-25T23:00:00,ECONOMY,O,705,452.96
6124,SIN,LNZ,SQ,SGD,A350-900,2026-06-26T01:00:00,2026-06-26T13:25:00,ECONOMY,O,745,708.50
6125,LNZ,SIN,SQ,EUR,A350-900,2026-06-26T12:20:00,2026-06-27T00:05:00,ECONOMY,O,705,474.74
6126,SIN,LNZ,SQ,SGD,B777-300ER,2026-06-27T23:05:00,2026-06-28T11:30:00,ECONOMY,O,745,711.00
6127,LNZ,SIN,SQ,EUR,B777-300ER,2026-06-27T13:25:00,2026-06-28T01:10:00,ECONOMY,O,705,476.41
6128,SIN,LNZ,SQ,SGD,A350-900,2026-06-28T00:10:00,2026-06-28T12:35:00,ECONOMY,O,745,713.50
6129,LNZ,SIN,SQ,EUR,A350-900,2026-06-28T10:30:00,2026-06-28T22:15:00,ECONOMY,O,705,478.09
6130,SIN,LNZ,SQ,SGD,B777-300ER,2026-06-29T01:15:00,2026-06-29T13:40:00,ECONOMY,O,745,686.00
6131,LNZ,SIN,SQ,EUR,B777-300ER,2026-06-29T11:35:00,2026-06-29T23:20:00,ECONOMY,O,705,459.66
6132,SIN,LNZ,SQ,SGD,A350-900,2026-06-30T23:50:00,2026-07-01T12:15:00,ECONOMY,O,745,663.00
6133,LNZ,SIN,SQ,EUR,A350-900,2026-06-30T12:15:00,2026-07-01T00:00:00,ECONOMY,O,705,444.25
6134,SIN,LNZ,SQ,SGD,B777-300ER,2026-07-01T00:55:00,2026-07-01T13:20:00,ECONOMY,O,745,707.50
6135,LNZ,SIN,SQ,EUR,B777-300ER,2026-07-01T11:20:00,2026-07-01T23:05:00,ECONOMY,O,705,474.07
6136,SIN,LNZ,SQ,SGD,A350-900,2026-07-02T01:00:00,2026-07-02T13:25:00,ECONOMY,O,745,723.00
6137,LNZ,SIN,SQ,EUR,A350-900,2026-07-02T12:25:00,2026-07-03T00:10:00,ECONOMY,O,705,484.45
6138,SIN,LNZ,SQ,SGD,B777-300ER,2026-07-03T23:05:00,2026-07-04T11:30:00,ECONOMY,O,745,755.50
6139,LNZ,SIN,SQ,EUR,B777-300ER,2026-07-03T13:30:00,2026-07-04T01:15:00,ECONOMY,O,705,506.23
6140,SIN,LNZ,SQ,SGD,A350-900,2026-07-04T00:10:00,2026-07-04T12:35:00,ECONOMY,O,745,758.00
6141,LNZ,SIN,SQ,EUR,A350-900,2026-07-04T10:35:00,2026-07-04T22:20:00,ECONOMY,O,705,507.90
6142,SIN,LNZ,SQ,SGD,B777-300ER,2026-07-05T01:15:00,2026-07-05T13:40:00,ECONOMY,O,745,748.00
6143,LNZ,SIN,SQ,EUR,B777-300ER,2026-07-05T11:15:00,2026-07-05T23:00:00,ECONOMY,O,705,501.20
6144,SIN,LNZ,SQ,SGD,A350-900,2026-07-06T23:50:00,2026-07-07T12:15:00,ECONOMY,O,745,720.50
6145,LNZ,SIN,SQ,EUR,A350-900,2026-07-06T12:20:00,2026-07-07T00:05:00,ECONOMY,O,705,482.78
6146,SIN,LNZ,SQ,SGD,B777-300ER,2026-07-07T00:55:00,2026-07-07T13:20:00,ECONOMY,O,745,710.00
6147,LNZ,SIN,SQ,EUR,B777-300ER,2026-07-07T13:25:00,2026-07-08T01:10:00,ECONOMY,O,705,475.74
6148,SIN,LNZ,SQ,SGD,A350-900,2026-07-08T01:00:00,2026-07-08T13:25:00,ECONOMY,O,745,712.50
6149,LNZ,SIN,SQ,EUR,A350-900,2026-07-08T10:30:00,2026-07-08T22:15:00,ECONOMY,O,705,477.42
6150,SIN,LNZ,SQ,SGD,B777-300ER,2026-07-09T23:05:00,2026-07-10T11:30:00,ECONOMY,O,745,728.00
6151,LNZ,SIN,SQ,EUR,B777-300ER,2026-07-09T11:35:00,2026-07-09T23:20:00,ECONOMY,O,705,487.80
6152,SIN,LNZ,SQ,SGD,A350-900,2026-07-10T00:10:00,2026-07-10T12:35:00,ECONOMY,O,745,748.00
6153,LNZ,SIN,SQ,EUR,A350-900,2026-07-10T12:15:00,2026-07-11T00:00:00,ECONOMY,O,705,501.20
6154,SIN,LNZ,SQ,SGD,B777-300ER,2026-07-11T01:15:00,2026-07-11T13:40:00,ECONOMY,O,745,750.50
6155,LNZ,SIN,SQ,EUR,B777-300ER,2026-07-11T13:20:00,2026-07-12T01:05:00,ECONOMY,O,705,502.88
6156,SIN,LNZ,SQ,SGD,A350-900,2026-07-12T23:50:00,2026-07-13T12:15:00,ECONOMY,O,745,753.00
6157,LNZ,SIN,SQ,EUR,A350-900,2026-07-12T10:25:00,2026-07-12T22:10:00,ECONOMY,O,705,504.55
6158,SIN,LNZ,SQ,SGD,B777-300ER,2026-07-13T00:55:00,2026-07-13T13:20:00,ECONOMY,O,745,725.50
6159,LNZ,SIN,SQ,EUR,B777-300ER,2026-07-13T11:30:00,2026-07-13T23:15:00,ECONOMY,O,705,486.13
6160,SIN,LNZ,SQ,SGD,A350-900,2026-07-14T01:00:00,2026-07-14T13:25:00,ECONOMY,O,745,715.00
6161,LNZ,SIN,SQ,EUR,A350-900,2026-07-14T12:35:00,2026-07-15T00:20:00,ECONOMY,O,705,479.09
6162,SIN,LNZ,SQ,SGD,B777-300ER,2026-07-15T23:05:00,2026-07-16T11:30:00,ECONOMY,O,745,705.00
6163,LNZ,SIN,SQ,EUR,B777-300ER,2026-07-15T13:15:00,2026-07-16T01:00:00,ECONOMY,O,705,472.39
6164,SIN,LNZ,SQ,SGD,A350-900,2026-07-16T00:10:00,2026-07-16T12:35:00,ECONOMY,O,745,720.50
6165,LNZ,SIN,SQ,EUR,A350-900,2026-07-16T10:20:00,2026-07-16T22:05:00,ECONOMY,O,705,482.78
6166,SIN,LNZ,SQ,SGD,B777-300ER,2026-07-17T01:15:00,2026-07-17T13:40:00,ECONOMY,O,745,753.00
6167,LNZ,SIN,SQ,EUR,B777-300ER,2026-07-17T11:25:00,2026-07-17T23:10:00,ECONOMY,O,705,504.55
6168,SIN,LNZ,SQ,SGD,A350-900,2026-07-18T23:50:00,2026-07-19T12:15:00,ECONOMY,O,745,755.50
6169,LNZ,SIN,SQ,EUR,A350-900,2026-07-18T12:30:00,2026-07-19T00:15:00,ECONOMY,O,705,506.23
6170,SIN,LNZ,SQ,SGD,B777-300ER,2026-07-19T00:55:00,2026-07-19T13:20:00,ECONOMY,O,745,758.00
6171,LNZ,SIN,SQ,EUR,B777-300ER,2026-07-19T13:35:00,2026-07-20T01:20:00,ECONOMY,O,705,507.90
6172,SIN,LNZ,SQ,SGD,A350-900,2026-07-20T01:00:00,2026-07-20T13:25:00,ECONOMY,O,745,718.00
6173,LNZ,SIN,SQ,EUR,A350-900,2026-07-20T10:15:00,2026-07-20T22:00:00,ECONOMY,O,705,481.10
6174,SIN,LNZ,SQ,SGD,B777-300ER,2026-07-21T23:05:00,2026-07-22T11:30:00,ECONOMY,O,745,707.50
6175,LNZ,SIN,SQ,EUR,B777-300ER,2026-07-21T11:20:00,2026-07-21T23:05:00,ECONOMY,O,705,474.07
6176,SIN,LNZ,SQ,SGD,A350-900,2026-07-22T00:10:00,2026-07-22T12:35:00,ECONOMY,O,745,710.00
6177,LNZ,SIN,SQ,EUR,A350-900,2026-07-22T12:25:00,2026-07-23T00:10:00,ECONOMY,O,705,475.74
6178,SIN,LNZ,SQ,SGD,B777-300ER,2026-07-23T01:15:00,2026-07-23T13:40:00,ECONOMY,O,745,725.50
6179,LNZ,SIN,SQ,EUR,B777-300ER,2026-07-23T13:30:00,2026-07-24T01:15:00,ECONOMY,O,705,486.13
6180,SIN,LNZ,SQ,SGD,A350-900,2026-07-24T23:50:00,2026-07-25T12:15:00,ECONOMY,O,745,758.00
