f_airport_code,f_airport_name,f_city_code
DOY,Dongying Shengli,DOY
PAE,Seattle Paine Field Intl,SEA
YIC,Yichun Mingyueshan,YIC
KTI,Techo Intl,PNH
BCD,Silay Intl,BCD
LBJ,Komodo Intl,LBJ
DRP,Bicol Intl,DRP
GES,General Santos Intl,GES
CGY,Laguindingan Intl,CGY
PPS,Puerto Princesa Intl,PPS
TAG,Bohol Intl,TAG
ZAM,Zamboanga Intl,ZAM
DGT,Sibulan,DGT
KBR,Sultan Ismail Petra,KBR
DAD,Da Nang,DAD
CXR,Cam Ranh Intl,NHA
IWJ,Iwami,IWJ
SYO,Shonai,SYO
CEI,Chiang Rai Intl,CEI
TAC,D.Z. Romualdez,TAC
LAO,Laoag Intl,LAO
BXU,Bancasi,BXU
USU,Francisco B. Reyes,USU
RXS,Roxas,RXS
DPL,Dipolog,DPL
OZC,Labo,OZC
IAO,Sayak,IAO
CYP,Calbayog,CYP
CBO,Awang,CBO
BSO,Basco,BSO
CRM,Catarman National,CRM
PAG,Pagadian,PAG
EUQ,Evelio Javier,EUQ
AKJ,Asahikawa,AKJ
FKS,Fukushima,FKS
FSZ,Mount Fuji Shizuoka,FSZ
FUJ,Fukue,FUJ
HAC,Hachijojima,HAC
KIJ,Niigata,KIJ
KUH,Kushiro,KUH
MBE,Monbetsu,MBE
MMB,Memanbetsu,MMB
NTQ,Noto,NTQ
RIS,Rishiri,RIS
SHB,Nakashibetsu,SHB
TSJ,Tsushima,TSJ
WKJ,Wakkanai,WKJ
WSI,Western Sydney International,SYD
TJQ,H.A.S. Hanandjoeddin,TJQ
PNK,Supadio Intl,PNK
MPH,Godofredo P. Ramos,MPH
