f_departure_airport_code,f_destination_airport_code,f_airline_code,f_currency_code,f_aircraft_code,f_departure_date,f_arrival_date,f_cabin_class,f_trip_type,f_flight_duration,f_total_amount_fare_total,f_num_of_last_seats
BWN,SIN,SQ,BND,B737-8,2026-07-07T16:25:00,2026-07-07T18:35:00,ECONOMY,O,130,137.0,475
SIN,BWN,SQ,SGD,B737-8,2026-07-08T11:00:00,2026-07-08T13:15:00,ECONOMY,O,135,139.5,215
BWN,SIN,SQ,BND,B737-8,2026-07-08T13:30:00,2026-07-08T15:40:00,ECONOMY,O,130,139.5,285
SIN,BWN,SQ,SGD,B737-8,2026-07-09T09:05:00,2026-07-09T11:20:00,ECONOMY,O,135,145.0,475
BWN,SIN,SQ,BND,B737-8,2026-07-09T14:35:00,2026-07-09T16:45:00,ECONOMY,O,130,145.0,265
SIN,BWN,SQ,SGD,B737-8,2026-07-10T10:10:00,2026-07-10T12:25:00,ECONOMY,O,135,143.0,275
BWN,SIN,SQ,BND,B737-8,2026-07-10T15:15:00,2026-07-10T17:25:00,ECONOMY,O,130,143.0,34
SIN,BWN,SQ,SGD,B737-8,2026-07-11T11:15:00,2026-07-11T13:30:00,ECONOMY,O,135,145.5,459
BWN,SIN,SQ,BND,B737-8,2026-07-11T16:20:00,2026-07-11T18:30:00,ECONOMY,O,130,145.5,290
SIN,BWN,SQ,SGD,B737-8,2026-07-12T09:50:00,2026-07-12T12:05:00,ECONOMY,O,135,148.0,262
BWN,SIN,SQ,BND,B737-8,2026-07-12T13:25:00,2026-07-12T15:35:00,ECONOMY,O,130,148.0,319
SIN,BWN,SQ,SGD,B737-8,2026-07-13T10:55:00,2026-07-13T13:10:00,ECONOMY,O,135,142.5,298
BWN,SIN,SQ,BND,B737-8,2026-07-13T14:30:00,2026-07-13T16:40:00,ECONOMY,O,130,142.5,173
SIN,BWN,SQ,SGD,B737-8,2026-07-14T11:00:00,2026-07-14T13:15:00,ECONOMY,O,135,142.0,104
BWN,SIN,SQ,BND,B737-8,2026-07-14T15:35:00,2026-07-14T17:45:00,ECONOMY,O,130,142.0,279
SIN,BWN,SQ,SGD,B737-8,2026-07-15T09:05:00,2026-07-15T11:20:00,ECONOMY,O,135,132.0,330
BWN,SIN,SQ,BND,B737-8,2026-07-15T16:15:00,2026-07-15T18:25:00,ECONOMY,O,130,132.0,119
SIN,BWN,SQ,SGD,B737-8,2026-07-16T10:10:00,2026-07-16T12:25:00,ECONOMY,O,135,137.5,345
BWN,SIN,SQ,BND,B737-8,2026-07-16T13:20:00,2026-07-16T15:30:00,ECONOMY,O,130,137.5,319
SIN,BWN,SQ,SGD,B737-8,2026-07-17T11:15:00,2026-07-17T13:30:00,ECONOMY,O,135,148.0,247
BWN,SIN,SQ,BND,B737-8,2026-07-17T14:25:00,2026-07-17T16:35:00,ECONOMY,O,130,148.0,390
SIN,BWN,SQ,SGD,B737-8,2026-07-18T09:50:00,2026-07-18T12:05:00,ECONOMY,O,135,150.5,445
BWN,SIN,SQ,BND,B737-8,2026-07-18T15:30:00,2026-07-18T17:40:00,ECONOMY,O,130,150.5,396
SIN,BWN,SQ,SGD,B737-8,2026-07-19T10:55:00,2026-07-19T13:10:00,ECONOMY,O,135,153.0,492
BWN,SIN,SQ,BND,B737-8,2026-07-19T16:35:00,2026-07-19T18:45:00,ECONOMY,O,130,153.0,434
SIN,BWN,SQ,SGD,B737-8,2026-07-20T11:00:00,2026-07-20T13:15:00,ECONOMY,O,135,135.0,399
BWN,SIN,SQ,BND,B737-8,2026-07-20T13:15:00,2026-07-20T15:25:00,ECONOMY,O,130,135.0,34
SIN,BWN,SQ,SGD,B737-8,2026-07-21T09:05:00,2026-07-21T11:20:00,ECONOMY,O,135,134.5,150
BWN,SIN,SQ,BND,B737-8,2026-07-21T14:20:00,2026-07-21T16:30:00,ECONOMY,O,130,134.5,126
SIN,BWN,SQ,SGD,B737-8,2026-07-22T10:10:00,2026-07-22T12:25:00,ECONOMY,O,135,137.0,491
BWN,SIN,SQ,BND,B737-8,2026-07-22T15:25:00,2026-07-22T17:35:00,ECONOMY,O,130,137.0,401
SIN,BWN,SQ,SGD,B737-8,2026-07-23T11:15:00,2026-07-23T13:30:00,ECONOMY,O,135,142.5,414
BWN,SIN,SQ,BND,B737-8,2026-07-23T16:30:00,2026-07-23T18:40:00,ECONOMY,O,130,142.5,491
SIN,BWN,SQ,SGD,B737-8,2026-07-24T09:50:00,2026-07-24T12:05:00,ECONOMY,O,135,153.0,461
BWN,SIN,SQ,BND,B737-8,2026-07-24T13:35:00,2026-07-24T15:45:00,ECONOMY,O,130,153.0,34
SIN,BWN,SQ,SGD,B737-8,2026-07-25T10:55:00,2026-07-25T13:10:00,ECONOMY,O,135,143.0,88
BWN,SIN,SQ,BND,B737-8,2026-07-25T14:15:00,2026-07-25T16:25:00,ECONOMY,O,130,143.0,77
SIN,BWN,SQ,SGD,B737-8,2026-07-26T11:00:00,2026-07-26T13:15:00,ECONOMY,O,135,145.5,182
BWN,SIN,SQ,BND,B737-8,2026-07-26T15:20:00,2026-07-26T17:30:00,ECONOMY,O,130,145.5,453
SIN,BWN,SQ,SGD,B737-8,2026-07-27T09:05:00,2026-07-27T11:20:00,ECONOMY,O,135,140.0,21
BWN,SIN,SQ,BND,B737-8,2026-07-27T16:25:00,2026-07-27T18:35:00,ECONOMY,O,130,140.0,297
SIN,BWN,SQ,SGD,B737-8,2026-07-28T10:10:00,2026-07-28T12:25:00,ECONOMY,O,135,139.5,137
BWN,SIN,SQ,BND,B737-8,2026-07-28T13:30:00,2026-07-28T15:40:00,ECONOMY,O,130,139.5,105
SIN,BWN,SQ,SGD,B737-8,2026-07-29T11:15:00,2026-07-29T13:30:00,ECONOMY,O,135,142.0,101
BWN,SIN,SQ,BND,B737-8,2026-07-29T14:35:00,2026-07-29T16:45:00,ECONOMY,O,130,142.0,150
SIN,BWN,SQ,SGD,B737-8,2026-07-30T09:50:00,2026-07-30T12:05:00,ECONOMY,O,135,135.0,40
BWN,SIN,SQ,BND,B737-8,2026-07-30T15:15:00,2026-07-30T17:25:00,ECONOMY,O,130,135.0,343
SIN,BWN,SQ,SGD,B737-8,2026-07-31T10:55:00,2026-07-31T13:10:00,ECONOMY,O,135,145.5,29
BWN,SIN,SQ,BND,B737-8,2026-07-31T16:20:00,2026-07-31T18:30:00,ECONOMY,O,130,145.5,155
SIN,BWN,SQ,SGD,B737-8,2026-08-01T10:55:00,2026-08-01T13:10:00,ECONOMY,O,135,142.5,486
BWN,SIN,SQ,BND,B737-8,2026-08-01T14:20:00,2026-08-01T16:30:00,ECONOMY,O,130,142.5,325
SIN,BWN,SQ,SGD,B737-8,2026-08-02T11:00:00,2026-08-02T13:15:00,ECONOMY,O,135,145.0,456
BWN,SIN,SQ,BND,B737-8,2026-08-02T15:25:00,2026-08-02T17:35:00,ECONOMY,O,130,145.0,399
SIN,BWN,SQ,SGD,B737-8,2026-08-03T09:05:00,2026-08-03T11:20:00,ECONOMY,O,135,139.5,169
BWN,SIN,SQ,BND,B737-8,2026-08-03T16:30:00,2026-08-03T18:40:00,ECONOMY,O,130,139.5,358
SIN,BWN,SQ,SGD,B737-8,2026-08-04T10:10:00,2026-08-04T12:25:00,ECONOMY,O,135,139.0,52
BWN,SIN,SQ,BND,B737-8,2026-08-04T13:35:00,2026-08-04T15:45:00,ECONOMY,O,130,139.0,263
SIN,BWN,SQ,SGD,B737-8,2026-08-05T11:15:00,2026-08-05T13:30:00,ECONOMY,O,135,129.0,139
BWN,SIN,SQ,BND,B737-8,2026-08-05T14:15:00,2026-08-05T16:25:00,ECONOMY,O,130,129.0,69
SIN,BWN,SQ,SGD,B737-8,2026-08-06T09:50:00,2026-08-06T12:05:00,ECONOMY,O,135,134.5,160
BWN,SIN,SQ,BND,B737-8,2026-08-06T15:20:00,2026-08-06T17:30:00,ECONOMY,O,130,134.5,476
SIN,BWN,SQ,SGD,B737-8,2026-08-07T10:55:00,2026-08-07T13:10:00,ECONOMY,O,135,145.0,296
BWN,SIN,SQ,BND,B737-8,2026-08-07T16:25:00,2026-08-07T18:35:00,ECONOMY,O,130,145.0,14
SIN,BWN,SQ,SGD,B737-8,2026-08-08T11:00:00,2026-08-08T13:15:00,ECONOMY,O,135,147.5,476
BWN,SIN,SQ,BND,B737-8,2026-08-08T13:30:00,2026-08-08T15:40:00,ECONOMY,O,130,147.5,427
SIN,BWN,SQ,SGD,B737-8,2026-08-09T09:05:00,2026-08-09T11:20:00,ECONOMY,O,135,150.0,275
BWN,SIN,SQ,BND,B737-8,2026-08-09T14:35:00,2026-08-09T16:45:00,ECONOMY,O,130,150.0,354
SIN,BWN,SQ,SGD,B737-8,2026-08-10T10:10:00,2026-08-10T12:25:00,ECONOMY,O,135,132.0,139
BWN,SIN,SQ,BND,B737-8,2026-08-10T15:15:00,2026-08-10T17:25:00,ECONOMY,O,130,132.0,391
SIN,BWN,SQ,SGD,B737-8,2026-08-11T11:15:00,2026-08-11T13:30:00,ECONOMY,O,135,131.5,276
BWN,SIN,SQ,BND,B737-8,2026-08-11T16:20:00,2026-08-11T18:30:00,ECONOMY,O,130,131.5,187
SIN,BWN,SQ,SGD,B737-8,2026-08-12T09:50:00,2026-08-12T12:05:00,ECONOMY,O,135,134.0,262
BWN,SIN,SQ,BND,B737-8,2026-08-12T13:25:00,2026-08-12T15:35:00,ECONOMY,O,130,134.0,424
SIN,BWN,SQ,SGD,B737-8,2026-08-13T10:55:00,2026-08-13T13:10:00,ECONOMY,O,135,139.5,65
BWN,SIN,SQ,BND,B737-8,2026-08-13T14:30:00,2026-08-13T16:40:00,ECONOMY,O,130,139.5,472
SIN,BWN,SQ,SGD,B737-8,2026-08-14T11:00:00,2026-08-14T13:15:00,ECONOMY,O,135,150.0,466
BWN,SIN,SQ,BND,B737-8,2026-08-14T15:35:00,2026-08-14T17:45:00,ECONOMY,O,130,150.0,480
SIN,BWN,SQ,SGD,B737-8,2026-08-15T09:05:00,2026-08-15T11:20:00,ECONOMY,O,135,140.0,92
BWN,SIN,SQ,BND,B737-8,2026-08-15T16:15:00,2026-08-15T18:25:00,ECONOMY,O,130,140.0,402
SIN,BWN,SQ,SGD,B737-8,2026-08-16T10:10:00,2026-08-16T12:25:00,ECONOMY,O,135,142.5,108
BWN,SIN,SQ,BND,B737-8,2026-08-16T13:20:00,2026-08-16T15:30:00,ECONOMY,O,130,142.5,158
SIN,BWN,SQ,SGD,B737-8,2026-08-17T11:15:00,2026-08-17T13:30:00,ECONOMY,O,135,137.0,338
BWN,SIN,SQ,BND,B737-8,2026-08-17T14:25:00,2026-08-17T16:35:00,ECONOMY,O,130,137.0,165
SIN,BWN,SQ,SGD,B737-8,2026-08-18T09:50:00,2026-08-18T12:05:00,ECONOMY,O,135,136.5,199
BWN,SIN,SQ,BND,B737-8,2026-08-18T15:30:00,2026-08-18T17:40:00,ECONOMY,O,130,136.5,380
SIN,BWN,SQ,SGD,B737-8,2026-08-19T10:55:00,2026-08-19T13:10:00,ECONOMY,O,135,139.0,272
BWN,SIN,SQ,BND,B737-8,2026-08-19T16:35:00,2026-08-19T18:45:00,ECONOMY,O,130,139.0,89
SIN,BWN,SQ,SGD,B737-8,2026-08-20T11:00:00,2026-08-20T13:15:00,ECONOMY,O,135,132.0,409
BWN,SIN,SQ,BND,B737-8,2026-08-20T13:15:00,2026-08-20T15:25:00,ECONOMY,O,130,132.0,261
SIN,BWN,SQ,SGD,B737-8,2026-08-21T09:05:00,2026-08-21T11:20:00,ECONOMY,O,135,142.5,106
BWN,SIN,SQ,BND,B737-8,2026-08-21T14:20:00,2026-08-21T16:30:00,ECONOMY,O,130,142.5,269
SIN,BWN,SQ,SGD,B737-8,2026-08-22T10:10:00,2026-08-22T12:25:00,ECONOMY,O,135,145.0,269
BWN,SIN,SQ,BND,B737-8,2026-08-22T15:25:00,2026-08-22T17:35:00,ECONOMY,O,130,145.0,112
SIN,BWN,SQ,SGD,B737-8,2026-08-23T11:15:00,2026-08-23T13:30:00,ECONOMY,O,135,147.5,49
BWN,SIN,SQ,BND,B737-8,2026-08-23T16:30:00,2026-08-23T18:40:00,ECONOMY,O,130,147.5,282
SIN,BWN,SQ,SGD,B737-8,2026-08-24T09:50:00,2026-08-24T12:05:00,ECONOMY,O,135,142.0,110
BWN,SIN,SQ,BND,B737-8,2026-08-24T13:35:00,2026-08-24T15:45:00,ECONOMY,O,130,142.0,368
SIN,BWN,SQ,SGD,B737-8,2026-08-25T10:55:00,2026-08-25T13:10:00,ECONOMY,O,135,129.0,389
BWN,SIN,SQ,BND,B737-8,2026-08-25T14:15:00,2026-08-25T16:25:00,ECONOMY,O,130,129.0,317
SIN,BWN,SQ,SGD,B737-8,2026-08-26T11:00:00,2026-08-26T13:15:00,ECONOMY,O,135,131.5,230
BWN,SIN,SQ,BND,B737-8,2026-08-26T15:20:00,2026-08-26T17:30:00,ECONOMY,O,130,131.5,317
SIN,BWN,SQ,SGD,B737-8,2026-08-27T09:05:00,2026-08-27T11:20:00,ECONOMY,O,135,137.0,429
BWN,SIN,SQ,BND,B737-8,2026-08-27T16:25:00,2026-08-27T18:35:00,ECONOMY,O,130,137.0,133
SIN,BWN,SQ,SGD,B737-8,2026-08-28T10:10:00,2026-08-28T12:25:00,ECONOMY,O,135,147.5,431
BWN,SIN,SQ,BND,B737-8,2026-08-28T13:30:00,2026-08-28T15:40:00,ECONOMY,O,130,147.5,240
SIN,BWN,SQ,SGD,B737-8,2026-08-29T11:15:00,2026-08-29T13:30:00,ECONOMY,O,135,150.0,187
BWN,SIN,SQ,BND,B737-8,2026-08-29T14:35:00,2026-08-29T16:45:00,ECONOMY,O,130,150.0,72
SIN,CGK,SQ,SGD,B737-8,2026-05-30T07:50:00,2026-05-30T09:40:00,ECONOMY,O,110,165.0,494
CGK,SIN,SQ,IDR,B737-8,2026-05-30T14:15:00,2026-05-30T16:00:00,ECONOMY,O,105,2213350.36,125
SIN,CGK,SQ,SGD,B787-10,2026-05-31T08:55:00,2026-05-31T10:45:00,ECONOMY,O,110,167.5,200
CGK,SIN,SQ,IDR,B787-10,2026-05-31T15:20:00,2026-05-31T17:05:00,ECONOMY,O,105,2246885.97,71
SIN,CGK,SQ,SGD,B787-10,2026-06-01T08:55:00,2026-06-01T10:45:00,ECONOMY,O,110,151.5,265
CGK,SIN,SQ,IDR,B787-10,2026-06-01T13:20:00,2026-06-01T15:05:00,ECONOMY,O,105,2032258.06,492
SIN,CGK,SQ,SGD,B737-8,2026-06-02T09:00:00,2026-06-02T10:50:00,ECONOMY,O,110,150.0,16
CGK,SIN,SQ,IDR,B737-8,2026-06-02T14:25:00,2026-06-02T16:10:00,ECONOMY,O,105,2012136.69,164
SIN,CGK,SQ,SGD,B787-10,2026-06-03T07:05:00,2026-06-03T08:55:00,ECONOMY,O,110,152.5,101
CGK,SIN,SQ,IDR,B787-10,2026-06-03T15:30:00,2026-06-03T17:15:00,ECONOMY,O,105,2045672.3,479
SIN,CGK,SQ,SGD,B737-8,2026-06-04T08:10:00,2026-06-04T10:00:00,ECONOMY,O,110,159.0,23
CGK,SIN,SQ,IDR,B737-8,2026-06-04T12:35:00,2026-06-04T14:20:00,ECONOMY,O,105,2132864.89,464
SIN,CGK,SQ,SGD,B787-10,2026-06-05T09:15:00,2026-06-05T11:05:00,ECONOMY,O,110,158.0,238
CGK,SIN,SQ,IDR,B787-10,2026-06-05T13:15:00,2026-06-05T15:00:00,ECONOMY,O,105,2119450.65,95
SIN,CGK,SQ,SGD,B737-8,2026-06-06T07:50:00,2026-06-06T09:40:00,ECONOMY,O,110,160.5,142
CGK,SIN,SQ,IDR,B737-8,2026-06-06T14:20:00,2026-06-06T16:05:00,ECONOMY,O,105,2152986.26,192
SIN,CGK,SQ,SGD,B787-10,2026-06-07T08:55:00,2026-06-07T10:45:00,ECONOMY,O,110,163.0,395
CGK,SIN,SQ,IDR,B787-10,2026-06-07T15:25:00,2026-06-07T17:10:00,ECONOMY,O,105,2186521.87,71
SIN,CGK,SQ,SGD,B737-8,2026-06-08T09:00:00,2026-06-08T10:50:00,ECONOMY,O,110,156.5,228
CGK,SIN,SQ,IDR,B737-8,2026-06-08T12:30:00,2026-06-08T14:15:00,ECONOMY,O,105,2099329.28,414
SIN,CGK,SQ,SGD,B787-10,2026-06-09T07:05:00,2026-06-09T08:55:00,ECONOMY,O,110,155.0,255
CGK,SIN,SQ,IDR,B787-10,2026-06-09T13:35:00,2026-06-09T15:20:00,ECONOMY,O,105,2079207.91,239
SIN,CGK,SQ,SGD,B737-8,2026-06-10T08:10:00,2026-06-10T10:00:00,ECONOMY,O,110,145.0,88
CGK,SIN,SQ,IDR,B737-8,2026-06-10T14:15:00,2026-06-10T16:00:00,ECONOMY,O,105,1945065.47,158
SIN,CGK,SQ,SGD,B787-10,2026-06-11T09:15:00,2026-06-11T11:05:00,ECONOMY,O,110,151.5,147
CGK,SIN,SQ,IDR,B787-10,2026-06-11T15:20:00,2026-06-11T17:05:00,ECONOMY,O,105,2032258.06,480
SIN,CGK,SQ,SGD,B737-8,2026-06-12T07:50:00,2026-06-12T09:40:00,ECONOMY,O,110,163.0,323
CGK,SIN,SQ,IDR,B737-8,2026-06-12T12:25:00,2026-06-12T14:10:00,ECONOMY,O,105,2186521.87,385
SIN,CGK,SQ,SGD,B787-10,2026-06-13T08:55:00,2026-06-13T10:45:00,ECONOMY,O,110,165.5,432
CGK,SIN,SQ,IDR,B787-10,2026-06-13T13:30:00,2026-06-13T15:15:00,ECONOMY,O,105,2220057.48,398
SIN,CGK,SQ,SGD,B737-8,2026-06-14T09:00:00,2026-06-14T10:50:00,ECONOMY,O,110,168.0,74
CGK,SIN,SQ,IDR,B737-8,2026-06-14T14:35:00,2026-06-14T16:20:00,ECONOMY,O,105,2253593.09,22
SIN,CGK,SQ,SGD,B787-10,2026-06-15T07:05:00,2026-06-15T08:55:00,ECONOMY,O,110,149.0,222
CGK,SIN,SQ,IDR,B787-10,2026-06-15T15:15:00,2026-06-15T17:00:00,ECONOMY,O,105,1998722.45,483
SIN,CGK,SQ,SGD,B737-8,2026-06-16T08:10:00,2026-06-16T10:00:00,ECONOMY,O,110,147.5,251
CGK,SIN,SQ,IDR,B737-8,2026-06-16T12:20:00,2026-06-16T14:05:00,ECONOMY,O,105,1978601.08,222
SIN,CGK,SQ,SGD,B787-10,2026-06-17T09:15:00,2026-06-17T11:05:00,ECONOMY,O,110,150.0,190
CGK,SIN,SQ,IDR,B787-10,2026-06-17T13:25:00,2026-06-17T15:10:00,ECONOMY,O,105,2012136.69,347
SIN,CGK,SQ,SGD,B737-8,2026-06-18T07:50:00,2026-06-18T09:40:00,ECONOMY,O,110,156.5,494
CGK,SIN,SQ,IDR,B737-8,2026-06-18T14:30:00,2026-06-18T16:15:00,ECONOMY,O,105,2099329.28,182
SIN,CGK,SQ,SGD,B787-10,2026-06-19T08:55:00,2026-06-19T10:45:00,ECONOMY,O,110,168.0,169
CGK,SIN,SQ,IDR,B787-10,2026-06-19T15:35:00,2026-06-19T17:20:00,ECONOMY,O,105,2253593.09,173
SIN,CGK,SQ,SGD,B737-8,2026-06-20T09:00:00,2026-06-20T10:50:00,ECONOMY,O,110,158.0,474
CGK,SIN,SQ,IDR,B737-8,2026-06-20T12:15:00,2026-06-20T14:00:00,ECONOMY,O,105,2119450.65,492
SIN,CGK,SQ,SGD,B787-10,2026-06-21T07:05:00,2026-06-21T08:55:00,ECONOMY,O,110,160.5,197
CGK,SIN,SQ,IDR,B787-10,2026-06-21T13:20:00,2026-06-21T15:05:00,ECONOMY,O,105,2152986.26,404
SIN,CGK,SQ,SGD,B737-8,2026-06-22T08:10:00,2026-06-22T10:00:00,ECONOMY,O,110,154.0,200
CGK,SIN,SQ,IDR,B737-8,2026-06-22T14:25:00,2026-06-22T16:10:00,ECONOMY,O,105,2065793.67,414
SIN,CGK,SQ,SGD,B787-10,2026-06-23T09:15:00,2026-06-23T11:05:00,ECONOMY,O,110,152.5,317
CGK,SIN,SQ,IDR,B787-10,2026-06-23T15:30:00,2026-06-23T17:15:00,ECONOMY,O,105,2045672.3,265
SIN,CGK,SQ,SGD,B737-8,2026-06-24T07:50:00,2026-06-24T09:40:00,ECONOMY,O,110,155.0,192
CGK,SIN,SQ,IDR,B737-8,2026-06-24T12:35:00,2026-06-24T14:20:00,ECONOMY,O,105,2079207.91,126
SIN,CGK,SQ,SGD,B787-10,2026-06-25T08:55:00,2026-06-25T10:45:00,ECONOMY,O,110,149.0,291
CGK,SIN,SQ,IDR,B787-10,2026-06-25T13:15:00,2026-06-25T15:00:00,ECONOMY,O,105,1998722.45,205
SIN,CGK,SQ,SGD,B737-8,2026-06-26T09:00:00,2026-06-26T10:50:00,ECONOMY,O,110,160.5,43
CGK,SIN,SQ,IDR,B737-8,2026-06-26T14:20:00,2026-06-26T16:05:00,ECONOMY,O,105,2152986.26,61
SIN,CGK,SQ,SGD,B787-10,2026-06-27T07:05:00,2026-06-27T08:55:00,ECONOMY,O,110,163.0,121
CGK,SIN,SQ,IDR,B787-10,2026-06-27T15:25:00,2026-06-27T17:10:00,ECONOMY,O,105,2186521.87,261
SIN,CGK,SQ,SGD,B737-8,2026-06-28T08:10:00,2026-06-28T10:00:00,ECONOMY,O,110,165.5,91
CGK,SIN,SQ,IDR,B737-8,2026-06-28T12:30:00,2026-06-28T14:15:00,ECONOMY,O,105,2220057.48,241
SIN,CGK,SQ,SGD,B787-10,2026-06-29T09:15:00,2026-06-29T11:05:00,ECONOMY,O,110,159.0,236
CGK,SIN,SQ,IDR,B787-10,2026-06-29T13:35:00,2026-06-29T15:20:00,ECONOMY,O,105,2132864.89,242
SIN,CGK,SQ,SGD,B737-8,2026-06-30T07:50:00,2026-06-30T09:40:00,ECONOMY,O,110,145.0,230
CGK,SIN,SQ,IDR,B737-8,2026-06-30T14:15:00,2026-06-30T16:00:00,ECONOMY,O,105,1945065.47,445
SIN,CGK,SQ,SGD,B787-10,2026-07-01T08:55:00,2026-07-01T10:45:00,ECONOMY,O,110,166.5,422
CGK,SIN,SQ,IDR,B787-10,2026-07-01T13:20:00,2026-07-01T15:05:00,ECONOMY,O,105,2233471.73,431
SIN,CGK,SQ,SGD,B737-8,2026-07-02T09:00:00,2026-07-02T10:50:00,ECONOMY,O,110,173.0,51
CGK,SIN,SQ,IDR,B737-8,2026-07-02T14:25:00,2026-07-02T16:10:00,ECONOMY,O,105,2320664.32,30
SIN,CGK,SQ,SGD,B787-10,2026-07-03T07:05:00,2026-07-03T08:55:00,ECONOMY,O,110,184.5,51
CGK,SIN,SQ,IDR,B787-10,2026-07-03T15:30:00,2026-07-03T17:15:00,ECONOMY,O,105,2474928.13,406
SIN,CGK,SQ,SGD,B737-8,2026-07-04T08:10:00,2026-07-04T10:00:00,ECONOMY,O,110,187.0,122
CGK,SIN,SQ,IDR,B737-8,2026-07-04T12:35:00,2026-07-04T14:20:00,ECONOMY,O,105,2508463.74,114
SIN,CGK,SQ,SGD,B787-10,2026-07-05T09:15:00,2026-07-05T11:05:00,ECONOMY,O,110,177.0,201
CGK,SIN,SQ,IDR,B787-10,2026-07-05T13:15:00,2026-07-05T15:00:00,ECONOMY,O,105,2374321.3,26
SIN,CGK,SQ,SGD,B737-8,2026-07-06T07:50:00,2026-07-06T09:40:00,ECONOMY,O,110,170.5,129
CGK,SIN,SQ,IDR,B737-8,2026-07-06T14:20:00,2026-07-06T16:05:00,ECONOMY,O,105,2287128.71,402
SIN,CGK,SQ,SGD,B787-10,2026-07-07T08:55:00,2026-07-07T10:45:00,ECONOMY,O,110,169.0,434
CGK,SIN,SQ,IDR,B787-10,2026-07-07T15:25:00,2026-07-07T17:10:00,ECONOMY,O,105,2267007.34,138
SIN,CGK,SQ,SGD,B737-8,2026-07-08T09:00:00,2026-07-08T10:50:00,ECONOMY,O,110,171.5,139
CGK,SIN,SQ,IDR,B737-8,2026-07-08T12:30:00,2026-07-08T14:15:00,ECONOMY,O,105,2300542.95,69
SIN,CGK,SQ,SGD,B787-10,2026-07-09T07:05:00,2026-07-09T08:55:00,ECONOMY,O,110,178.0,57
CGK,SIN,SQ,IDR,B787-10,2026-07-09T13:35:00,2026-07-09T15:20:00,ECONOMY,O,105,2387735.54,38
SIN,CGK,SQ,SGD,B737-8,2026-07-10T08:10:00,2026-07-10T10:00:00,ECONOMY,O,110,177.0,106
CGK,SIN,SQ,IDR,B737-8,2026-07-10T14:15:00,2026-07-10T16:00:00,ECONOMY,O,105,2374321.3,19
SIN,CGK,SQ,SGD,B787-10,2026-07-11T09:15:00,2026-07-11T11:05:00,ECONOMY,O,110,179.5,251
CGK,SIN,SQ,IDR,B787-10,2026-07-11T15:20:00,2026-07-11T17:05:00,ECONOMY,O,105,2407856.91,323
SIN,CGK,SQ,SGD,B737-8,2026-07-12T07:50:00,2026-07-12T09:40:00,ECONOMY,O,110,182.0,453
CGK,SIN,SQ,IDR,B737-8,2026-07-12T12:25:00,2026-07-12T14:10:00,ECONOMY,O,105,2441392.52,241
SIN,CGK,SQ,SGD,B787-10,2026-07-13T08:55:00,2026-07-13T10:45:00,ECONOMY,O,110,175.5,286
CGK,SIN,SQ,IDR,B787-10,2026-07-13T13:30:00,2026-07-13T15:15:00,ECONOMY,O,105,2354199.93,293
SIN,CGK,SQ,SGD,B737-8,2026-07-14T09:00:00,2026-07-14T10:50:00,ECONOMY,O,110,174.0,212
CGK,SIN,SQ,IDR,B737-8,2026-07-14T14:35:00,2026-07-14T16:20:00,ECONOMY,O,105,2334078.56,256
SIN,CGK,SQ,SGD,B787-10,2026-07-15T07:05:00,2026-07-15T08:55:00,ECONOMY,O,110,164.0,299
CGK,SIN,SQ,IDR,B787-10,2026-07-15T15:15:00,2026-07-15T17:00:00,ECONOMY,O,105,2199936.12,273
SIN,CGK,SQ,SGD,B737-8,2026-07-16T08:10:00,2026-07-16T10:00:00,ECONOMY,O,110,170.5,452
CGK,SIN,SQ,IDR,B737-8,2026-07-16T12:20:00,2026-07-16T14:05:00,ECONOMY,O,105,2287128.71,223
SIN,CGK,SQ,SGD,B787-10,2026-07-17T09:15:00,2026-07-17T11:05:00,ECONOMY,O,110,182.0,209
CGK,SIN,SQ,IDR,B787-10,2026-07-17T13:25:00,2026-07-17T15:10:00,ECONOMY,O,105,2441392.52,442
SIN,CGK,SQ,SGD,B737-8,2026-07-18T07:50:00,2026-07-18T09:40:00,ECONOMY,O,110,184.5,88
CGK,SIN,SQ,IDR,B737-8,2026-07-18T14:30:00,2026-07-18T16:15:00,ECONOMY,O,105,2474928.13,410
SIN,CGK,SQ,SGD,B787-10,2026-07-19T08:55:00,2026-07-19T10:45:00,ECONOMY,O,110,187.0,453
CGK,SIN,SQ,IDR,B787-10,2026-07-19T15:35:00,2026-07-19T17:20:00,ECONOMY,O,105,2508463.74,352
SIN,CGK,SQ,SGD,B737-8,2026-07-20T09:00:00,2026-07-20T10:50:00,ECONOMY,O,110,168.0,353
CGK,SIN,SQ,IDR,B737-8,2026-07-20T12:15:00,2026-07-20T14:00:00,ECONOMY,O,105,2253593.09,182
SIN,CGK,SQ,SGD,B787-10,2026-07-21T07:05:00,2026-07-21T08:55:00,ECONOMY,O,110,166.5,476
CGK,SIN,SQ,IDR,B787-10,2026-07-21T13:20:00,2026-07-21T15:05:00,ECONOMY,O,105,2233471.73,78
SIN,CGK,SQ,SGD,B737-8,2026-07-22T08:10:00,2026-07-22T10:00:00,ECONOMY,O,110,169.0,425
CGK,SIN,SQ,IDR,B737-8,2026-07-22T14:25:00,2026-07-22T16:10:00,ECONOMY,O,105,2267007.34,437
SIN,CGK,SQ,SGD,B787-10,2026-07-23T09:15:00,2026-07-23T11:05:00,ECONOMY,O,110,175.5,458
